#age/yr        logL   logTef lgrav  logTc  logrho Xc      Yc     Xc_C     Xc_O     Q_conv Q_disc  L_H/L Q1_H   Q2_H   f_pp      L_He/L Q1_He  Q2_He  L_C/L  L_nu/L Q_Tmax  stage
 2.567398E+08  2.233  4.273  4.642  7.677  2.690  0.2332  0.7668 0.00E+00 0.00E+00 0.0393 0.7865  1.000 0.0000 0.7732 1.00E+00  0.000 0.0000 0.0000  0.000  0.000  0.0000          
 2.622639E+08  2.251  4.275  4.632  7.682  2.755  0.2090  0.7910 0.00E+00 0.00E+00 0.0018 0.7865  1.000 0.0000 0.7949 1.00E+00  0.000 0.0000 0.0000  0.000  0.000  0.0000          
 2.674085E+08  2.267  4.277  4.624  7.691  2.813  0.1824  0.8176 0.00E+00 0.00E+00 0.0000 0.7907  1.000 0.0000 0.7949 1.00E+00  0.000 0.0000 0.0000  0.000  0.000  0.0000          
 2.724040E+08  2.284  4.279  4.614  7.701  2.871  0.1586  0.8414 0.00E+00 0.00E+00 0.0000 0.7907  1.000 0.0000 0.7949 1.00E+00  0.000 0.0000 0.0000  0.000  0.000  0.0000          
 2.773503E+08  2.302  4.281  4.604  7.711  2.931  0.1370  0.8630 0.00E+00 0.00E+00 0.0000 0.7907  1.000 0.0000 0.7949 1.00E+00  0.000 0.0000 0.0000  0.000  0.000  0.0000          
 2.821573E+08  2.319  4.282  4.592  7.722  2.991  0.1180  0.8820 0.00E+00 0.00E+00 0.0000 0.7949  1.000 0.0000 0.7949 1.00E+00  0.000 0.0000 0.0000  0.000  0.000  0.0000          
 2.867102E+08  2.337  4.284  4.580  7.734  3.052  0.1016  0.8984 0.00E+00 0.00E+00 0.0000 0.7949  1.000 0.0000 0.7949 1.00E+00  0.000 0.0000 0.0000  0.000  0.000  0.0000          
 2.912823E+08  2.356  4.285  4.565  7.745  3.113  0.0868  0.9132 0.00E+00 0.00E+00 0.0000 0.7949  0.998 0.0000 0.7949 1.00E+00  0.000 0.0000 0.0000  0.000  0.000  0.0000          
 2.959624E+08  2.375  4.285  4.548  7.758  3.177  0.0732  0.9268 0.00E+00 0.00E+00 0.0000 0.7990  1.000 0.0000 0.7949 1.00E+00  0.000 0.0000 0.0000  0.000  0.000  0.0000          
 3.001597E+08  2.395  4.286  4.532  7.772  3.245  0.0623  0.9377 5.70E-20 2.43E-20 0.0000 0.7990  0.998 0.0000 0.7907 1.00E+00  0.000 0.0000 0.0000  0.000  0.000  0.0000          
 3.034820E+08  2.413  4.288  4.521  7.786  3.310  0.0541  0.9459 1.08E-18 4.26E-19 0.0000 0.7990  1.000 0.0000 0.7949 1.00E+00  0.000 0.0000 0.0000  0.000  0.000  0.0000          
