#age/yr        logL   logTef lgrav  logTc  logrho Xc      Yc     Xc_C     Xc_O     Q_conv Q_disc  L_H/L Q1_H   Q2_H   f_pp      L_He/L Q1_He  Q2_He  L_C/L  L_nu/L Q_Tmax  stage
 1.514734E+10 -0.120  3.795  4.528  7.213  2.635  0.0990  0.9010 0.00E+00 0.00E+00 0.0000 0.7507  1.000 0.0000 0.3846 1.00E+00  0.000 0.0000 0.0000  0.000  0.000  0.0000          
 1.563718E+10 -0.098  3.796  4.512  7.221  2.674  0.0848  0.9152 0.00E+00 0.00E+00 0.0000 0.7507  1.000 0.0000 0.3984 1.00E+00  0.000 0.0000 0.0000  0.000  0.000  0.0000          
 1.606433E+10 -0.076  3.798  4.497  7.228  2.713  0.0738  0.9262 0.00E+00 0.00E+00 0.0000 0.7587  1.000 0.0000 0.3984 1.00E+00  0.000 0.0000 0.0000  0.000  0.000  0.0000          
 1.648210E+10 -0.054  3.799  4.480  7.236  2.756  0.0642  0.9358 0.00E+00 0.00E+00 0.0000 0.7587  1.000 0.0000 0.4118 1.00E+00  0.000 0.0000 0.0000  0.000  0.000  0.0000          
 1.688635E+10 -0.030  3.801  4.463  7.244  2.799  0.0558  0.9442 0.00E+00 0.00E+00 0.0000 0.7587  1.000 0.0000 0.4118 1.00E+00  0.000 0.0000 0.0000  0.000  0.000  0.0000          
 1.727612E+10 -0.006  3.802  4.445  7.252  2.845  0.0485  0.9515 0.00E+00 0.00E+00 0.0000 0.7587  1.000 0.0000 0.4250 1.00E+00  0.000 0.0000 0.0000  0.000  0.000  0.0000          
 1.764992E+10  0.019  3.804  4.426  7.261  2.892  0.0422  0.9578 0.00E+00 0.00E+00 0.0000 0.7587  1.000 0.0000 0.4250 1.00E+00  0.000 0.0000 0.0000  0.000  0.000  0.0000          
 1.800612E+10  0.045  3.805  4.405  7.271  2.941  0.0366  0.9634 0.00E+00 0.00E+00 0.0000 0.7626  1.000 0.0000 0.4314 1.00E+00  0.000 0.0000 0.0000  0.000  0.000  0.0000          
 1.834331E+10  0.072  3.806  4.384  7.281  2.991  0.0318  0.9682 0.00E+00 0.00E+00 0.0000 0.7626  1.000 0.0000 0.4314 1.00E+00  0.000 0.0000 0.0000  0.000  0.000  0.0000          
 1.855700E+10  0.090  3.807  4.369  7.288  3.025  0.0290  0.9710 0.00E+00 0.00E+00 0.0000 0.7626  1.000 0.0000 0.4378 1.00E+00  0.000 0.0000 0.0000  0.000  0.000  0.0000          
