#n   age/yr      logL   logTef Mact   Mcore C/O
#(1) (2)         (3)    (4)    (5)    (6)   (7)
  1 0.000000e+00 4.0162 3.6435 3.0000 0.7932 0.262
  2 1.221780e+04 4.0324 3.6421 3.0000 0.7943 1.006
  3 3.377590e+04 4.0561 3.6379 3.0000 0.7953 2.705
  4 5.788210e+04 4.0773 3.6299 3.0000 0.7957 4.630
  5 8.279410e+04 4.0950 3.6209 2.9999 0.7960 6.472
  6 1.081090e+05 4.1095 3.6125 2.9996 0.7962 8.135
  7 1.336940e+05 4.1212 3.6045 2.9986 0.7964 9.593
  8 1.594790e+05 4.1307 3.5972 2.9968 0.7965 10.853
  9 1.854190e+05 4.1384 3.5906 2.9945 0.7966 11.933
 10 2.114830e+05 4.1448 3.5846 2.9916 0.7967 12.857
 11 2.376470e+05 4.1502 3.5793 2.9882 0.7968 13.650
 12 2.638960e+05 4.1549 3.5741 2.9842 0.7968 14.329
 13 2.902100e+05 4.1591 3.5696 2.9797 0.7969 14.917
 14 3.165900e+05 4.1630 3.5654 2.9746 0.7969 15.428
 15 3.430310e+05 4.1667 3.5611 2.9688 0.7970 15.876
 16 3.695320e+05 4.1702 3.5574 2.9625 0.7970 16.269
 17 3.960910e+05 4.1736 3.5538 2.9555 0.7970 16.616
 18 4.227090e+05 4.1769 3.5503 2.9478 0.7971 16.924
 19 4.493880e+05 4.1803 3.5470 2.9394 0.7971 17.201
 20 4.761270e+05 4.1836 3.5442 2.9302 0.7971 17.447
 21 5.029310e+05 4.1870 3.5410 2.9202 0.7971 17.671
 22 5.298010e+05 4.1903 3.5379 2.9093 0.7972 17.872
 23 5.567410e+05 4.1936 3.5349 2.8975 0.7972 18.054
 24 5.837540e+05 4.1969 3.5319 2.8846 0.7972 18.220
 25 6.108460e+05 4.2002 3.5294 2.8707 0.7973 18.370
 26 6.380190e+05 4.2034 3.5265 2.8555 0.7973 18.509
 27 6.652810e+05 4.2066 3.5236 2.8390 0.7973 18.635
 28 6.926350e+05 4.2097 3.5207 2.8211 0.7974 18.752
 29 7.200890e+05 4.2126 3.5182 2.8016 0.7974 18.859
 30 7.476480e+05 4.2155 3.5152 2.7803 0.7974 18.957
 31 7.753210e+05 4.2181 3.5127 2.7571 0.7975 19.047
 32 8.031160e+05 4.2201 3.5097 2.7259 0.7975 19.131
 33 8.310650e+05 4.2208 3.5063 2.6805 0.7975 19.209
 34 8.592310e+05 4.2206 3.5028 2.6258 0.7976 19.281
 35 8.876550e+05 4.2193 3.4990 2.5601 0.7977 19.348
 36 9.163800e+05 4.2168 3.4950 2.4841 0.7977 19.410
 37 9.454440e+05 4.2126 3.4905 2.3919 0.7978 19.468
 38 9.749060e+05 4.2066 3.4854 2.2817 0.7979 19.521
 39 1.004820e+06 4.1980 3.4793 2.1452 0.7980 19.570
 40 1.035280e+06 4.1856 3.4707 1.9635 0.7981 19.614
 41 1.066410e+06 4.1663 3.4588 1.6774 0.7983 19.657
