#n   age/yr      logL   logTef grav    logTc  logrho Xc     Yc     Xc_C   Xc_O   Q_conv Q_disc L_H/L Q1_H Q2_H L_He/L Q1_He Q2_He L_C/L L_nu/L Q_Tmax phase
#(1) (2)         (3)    (4)    (5)     (6)    (7)    (8)    (9)    (10)   (11)   (12)   (13)   (14) (15)  (16) (17)   (18)  (19)  (20)  (21)   (22)   (23) 
  1 0.000000e+00 1.5779 4.0485 3.8130  8.0782 4.2366 0.0000 0.9608 0.0389 0.0002 0.000 0.787  0.300 0.767 0.911 0.703 0.000 0.098 0.000 0.000 0.000 bcheb
  2 1.321473e+07 1.5723 4.0424 3.7942  8.0882 4.2160 0.0000 0.7709 0.2138 0.0151 0.312 0.840  0.209 0.890 0.910 0.800 0.000 0.106 0.000 0.001 0.000 
  3 2.347284e+07 1.5800 4.0324 3.7465  8.0957 4.2012 0.0000 0.6512 0.3109 0.0377 0.336 0.848  0.160 0.767 0.886 0.848 0.000 0.119 0.000 0.001 0.000 
  4 3.092394e+07 1.5891 4.0223 3.6970  8.1018 4.1929 0.0000 0.5648 0.3739 0.0612 0.331 0.852  0.130 0.768 0.884 0.877 0.000 0.119 0.000 0.001 0.000 
  5 3.614074e+07 1.5981 4.0127 3.6496  8.1066 4.1913 0.0000 0.5030 0.4151 0.0817 0.332 0.853  0.111 0.768 0.880 0.899 0.000 0.119 0.000 0.001 0.000 
  6 4.125757e+07 1.6076 4.0027 3.6001  8.1114 4.1893 0.0000 0.4465 0.4483 0.1051 0.330 0.855  0.095 0.768 0.878 0.913 0.000 0.124 0.000 0.001 0.000 
  7 4.588411e+07 1.6173 3.9928 3.5508  8.1162 4.1888 0.0000 0.3956 0.4743 0.1299 0.327 0.857  0.083 0.768 0.876 0.924 0.000 0.139 0.000 0.001 0.000 
  8 5.011100e+07 1.6274 3.9825 3.4995  8.1212 4.1901 0.0000 0.3478 0.4950 0.1570 0.325 0.857  0.073 0.768 0.874 0.933 0.000 0.139 0.000 0.001 0.000 
  9 5.414913e+07 1.6372 3.9726 3.4501  8.1262 4.1928 0.0000 0.3057 0.5094 0.1848 0.324 0.858  0.065 0.768 0.871 0.941 0.000 0.139 0.000 0.001 0.000 
 10 5.775834e+07 1.6469 3.9628 3.4012  8.1313 4.1973 0.0000 0.2661 0.5199 0.2138 0.322 0.858  0.059 0.768 0.870 0.945 0.000 0.139 0.000 0.001 0.000 
 11 6.152527e+07 1.6567 3.9530 3.3522  8.1367 4.2033 0.0000 0.2298 0.5242 0.2459 0.322 0.858  0.054 0.768 0.868 0.950 0.000 0.154 0.000 0.001 0.000 
 12 6.538924e+07 1.6676 3.9427 3.3001  8.1430 4.2119 0.0000 0.1930 0.5227 0.2841 0.323 0.860  0.050 0.768 0.865 0.954 0.000 0.154 0.000 0.001 0.000 
 13 6.927928e+07 1.6781 3.9331 3.2512  8.1497 4.2229 0.0000 0.1597 0.5154 0.3247 0.322 0.860  0.048 0.768 0.864 0.958 0.000 0.154 0.000 0.002 0.000 
 14 7.367748e+07 1.6898 3.9232 3.1999  8.1579 4.2383 0.0000 0.1260 0.4972 0.3767 0.314 0.860  0.046 0.768 0.864 0.962 0.000 0.154 0.000 0.002 0.000 
 15 7.818231e+07 1.7027 3.9135 3.1482  8.1681 4.2621 0.0000 0.0925 0.4690 0.4384 0.310 0.860  0.047 0.768 0.863 0.952 0.000 0.169 0.000 0.003 0.000 
 16 8.265297e+07 1.7169 3.9044 3.0976  8.1804 4.2904 0.0000 0.0625 0.4300 0.5074 0.315 0.860  0.051 0.768 0.863 0.955 0.000 0.169 0.000 0.003 0.000 
 17 8.743253e+07 1.7378 3.8956 3.0415  8.2010 4.3482 0.0000 0.0310 0.3642 0.6047 0.303 0.861  0.069 0.768 0.864 0.933 0.000 0.182 0.000 0.005 0.000 
 18 9.052195e+07 1.7598 3.8870 2.9851  8.2211 4.4112 0.0000 0.0146 0.3065 0.6787 0.308 0.861  0.104 0.768 0.863 0.879 0.000 0.183 0.000 0.007 0.000 
 19 9.187829e+07 1.7757 3.8777 2.9320  8.2328 4.4502 0.0000 0.0092 0.2788 0.7119 0.309 0.861  0.137 0.768 0.858 0.843 0.000 0.183 0.000 0.008 0.000 
 20 9.246102e+07 1.7881 3.8679 2.8804  8.2402 4.4756 0.0000 0.0067 0.2663 0.7269 0.309 0.861  0.163 0.768 0.854 0.811 0.000 0.186 0.000 0.009 0.000 
 21 9.269009e+07 1.7975 3.8585 2.8334  8.2455 4.4957 0.0000 0.0051 0.2611 0.7337 0.289 0.861  0.183 0.768 0.851 0.757 0.000 0.186 0.000 0.009 0.000 
 22 9.281130e+07 1.8048 3.8502 2.7929  8.2493 4.5107 0.0000 0.0041 0.2584 0.7373 0.279 0.861  0.198 0.768 0.849 0.719 0.000 0.187 0.000 0.010 0.000 
 23 9.289851e+07 1.8124 3.8411 2.7489  8.2530 4.5254 0.0000 0.0034 0.2563 0.7403 0.274 0.861  0.213 0.768 0.847 0.686 0.000 0.187 0.000 0.010 0.000 
 24 9.296727e+07 1.8200 3.8315 2.7029  8.2566 4.5397 0.0000 0.0027 0.2545 0.7426 0.268 0.860  0.230 0.768 0.844 0.652 0.000 0.188 0.000 0.011 0.000 
 25 9.302193e+07 1.8274 3.8216 2.6559  8.2600 4.5537 0.0000 0.0022 0.2530 0.7446 0.261 0.860  0.246 0.768 0.843 0.617 0.000 0.188 0.000 0.011 0.000 
 26 9.306648e+07 1.8346 3.8113 2.6075  8.2632 4.5674 0.0000 0.0018 0.2518 0.7462 0.253 0.860  0.262 0.768 0.841 0.578 0.000 0.188 0.000 0.011 0.000 
 27 9.310388e+07 1.8415 3.8010 2.5594  8.2663 4.5807 0.0000 0.0015 0.2508 0.7476 0.245 0.860  0.278 0.768 0.840 0.540 0.000 0.188 0.000 0.012 0.000 
 28 9.313708e+07 1.8481 3.7910 2.5128  8.2691 4.5936 0.0000 0.0012 0.2500 0.7486 0.238 0.860  0.293 0.768 0.837 0.501 0.000 0.189 0.000 0.012 0.000 
 29 9.317039e+07 1.8573 3.7783 2.4528  8.2731 4.6120 0.0000 0.0009 0.2491 0.7499 0.225 0.860  0.314 0.768 0.835 0.439 0.000 0.189 0.000 0.013 0.000 
 30 9.320649e+07 1.8650 3.7704 2.4135  8.2762 4.6277 0.0000 0.0007 0.2484 0.7507 0.212 0.860  0.332 0.768 0.834 0.389 0.000 0.189 0.000 0.013 0.000 
 31 9.324812e+07 1.8798 3.7588 2.3523  8.2819 4.6586 0.0000 0.0004 0.2475 0.7519 0.185 0.860  0.364 0.768 0.830 0.286 0.312 0.360 0.000 0.014 0.000 
 32 9.329725e+07 1.9007 3.7496 2.2946  8.2890 4.7057 0.0000 0.0001 0.2467 0.7530 0.123 0.860  0.411 0.768 0.825 0.132 0.000 0.407 0.000 0.015 0.000 
 33 9.334358e+07 1.9293 3.7412 2.2324  8.2898 4.7726 0.0000 0.0000 0.2463 0.7535 0.000 0.860  0.456 0.768 0.820 0.025 0.007 0.441 0.000 0.015 0.000 
 34 9.338493e+07 1.9588 3.7344 2.1757  8.2899 4.8283 0.0000 0.0000 0.2463 0.7535 0.000 0.860  0.479 0.768 0.817 0.028 0.035 0.449 0.000 0.016 0.000 
 35 9.342827e+07 1.9931 3.7292 2.1206  8.2931 4.8802 0.0000 0.0000 0.2463 0.7535 0.000 0.860  0.505 0.768 0.813 0.039 0.054 0.457 0.000 0.016 0.000 
 36 9.347263e+07 2.0305 3.7245 2.0644  8.2975 4.9302 0.0000 0.0000 0.2463 0.7535 0.000 0.860  0.535 0.768 0.809 0.059 0.073 0.471 0.000 0.017 0.000 
 37 9.351817e+07 2.0691 3.7200 2.0078  8.3019 4.9767 0.0000 0.0000 0.2463 0.7535 0.000 0.860  0.565 0.768 0.806 0.094 0.091 0.487 0.000 0.017 0.000 
 38 9.357136e+07 2.0994 3.7175 1.9675  8.3044 5.0108 0.0000 0.0000 0.2463 0.7535 0.000 0.860  0.585 0.768 0.804 0.142 0.103 0.495 0.000 0.017 0.000 
 39 9.366931e+07 2.1399 3.7145 1.9150  8.2981 5.0689 0.0000 0.0000 0.2463 0.7535 0.000 0.860  0.573 0.768 0.802 0.412 0.134 0.501 0.000 0.015 0.000 lmaxeagb
 40 9.383151e+07 2.1020 3.7179 1.9665  8.2753 5.1060 0.0000 0.0000 0.2463 0.7535 0.000 0.860  0.446 0.768 0.807 0.557 0.163 0.506 0.000 0.013 0.000 
 41 9.425805e+07 2.0821 3.7191 1.9912  8.2441 5.1761 0.0000 0.0000 0.2463 0.7535 0.000 0.860  0.258 0.768 0.810 0.740 0.193 0.516 0.000 0.012 0.000 lmineagb
 42 9.524710e+07 2.1173 3.7151 1.9400  8.2038 5.2810 0.0000 0.0000 0.2463 0.7535 0.000 0.860  0.080 0.768 0.809 0.923 0.228 0.530 0.000 0.010 0.000 
 43 9.589193e+07 2.1550 3.7120 1.8899  8.1877 5.3218 0.0000 0.0000 0.2463 0.7535 0.000 0.860  0.034 0.768 0.808 0.973 0.256 0.534 0.000 0.009 0.000 
 44 9.668877e+07 2.1961 3.7086 1.8352  8.1710 5.3638 0.0000 0.0000 0.2463 0.7535 0.000 0.860  0.018 0.768 0.807 0.983 0.266 0.548 0.000 0.008 0.000 
 45 9.758785e+07 2.2250 3.7066 1.7983  8.1614 5.3940 0.0000 0.0000 0.2463 0.7535 0.000 0.860  0.013 0.768 0.805 0.986 0.276 0.553 0.000 0.008 0.003 
 46 9.843441e+07 2.2691 3.7034 1.7414  8.1523 5.4364 0.0000 0.0000 0.2463 0.7535 0.000 0.860  0.009 0.769 0.802 0.988 0.299 0.567 0.000 0.008 0.134 
 47 9.921656e+07 2.3109 3.7010 1.6900  8.1472 5.4746 0.0000 0.0000 0.2463 0.7535 0.000 0.860  0.007 0.769 0.799 0.989 0.304 0.579 0.000 0.008 0.180 
 48 9.991687e+07 2.3516 3.6984 1.6389  8.1438 5.5107 0.0000 0.0000 0.2463 0.7535 0.000 0.861  0.006 0.769 0.797 0.989 0.314 0.589 0.000 0.009 0.195 
 49 1.005379e+08 2.3904 3.6961 1.5909  8.1414 5.5443 0.0000 0.0000 0.2463 0.7535 0.000 0.861  0.005 0.769 0.796 0.988 0.332 0.600 0.000 0.009 0.213 
 50 1.010908e+08 2.4292 3.6937 1.5425  8.1391 5.5773 0.0000 0.0000 0.2463 0.7535 0.000 0.861  0.004 0.769 0.794 0.987 0.356 0.612 0.000 0.009 0.222 
 51 1.015907e+08 2.4668 3.6919 1.4977  8.1366 5.6093 0.0000 0.0000 0.2463 0.7535 0.000 0.861  0.004 0.769 0.793 0.986 0.383 0.621 0.000 0.009 0.222 
 52 1.020516e+08 2.5129 3.6889 1.4396  8.1333 5.6492 0.0000 0.0000 0.2463 0.7535 0.000 0.861  0.004 0.769 0.792 0.983 0.413 0.635 0.000 0.010 0.242 
 53 1.024875e+08 2.5557 3.6869 1.3888  8.1292 5.6881 0.0000 0.0000 0.2463 0.7535 0.000 0.854  0.005 0.769 0.790 0.980 0.445 0.646 0.000 0.010 0.252 
 54 1.029038e+08 2.5929 3.6845 1.3420  8.1244 5.7244 0.0000 0.0000 0.2463 0.7535 0.000 0.849  0.006 0.769 0.789 0.977 0.479 0.659 0.000 0.010 0.271 
 55 1.032919e+08 2.6287 3.6826 1.2986  8.1189 5.7599 0.0000 0.0000 0.2463 0.7535 0.000 0.845  0.010 0.769 0.788 0.971 0.499 0.669 0.000 0.011 0.281 
 56 1.036684e+08 2.6754 3.6799 1.2411  8.1095 5.8106 0.0000 0.0000 0.2463 0.7535 0.000 0.840  0.023 0.769 0.786 0.955 0.529 0.686 0.000 0.012 0.304 
 57 1.040094e+08 2.7119 3.6779 1.1966  8.1008 5.8507 0.0000 0.0000 0.2463 0.7535 0.000 0.836  0.052 0.770 0.784 0.924 0.551 0.698 0.000 0.013 0.323 
 58 1.042890e+08 2.7514 3.6757 1.1483  8.0913 5.8900 0.0000 0.0000 0.2463 0.7535 0.000 0.833  0.107 0.771 0.784 0.867 0.573 0.708 0.000 0.013 0.341 
 59 1.045245e+08 2.7937 3.6732 1.0960  8.0811 5.9277 0.0000 0.0000 0.2463 0.7535 0.000 0.830  0.187 0.773 0.784 0.786 0.593 0.719 0.000 0.013 0.350 
 60 1.047286e+08 2.8306 3.6712 1.0511  8.0723 5.9573 0.0000 0.0000 0.2463 0.7535 0.000 0.827  0.266 0.775 0.785 0.707 0.608 0.726 0.000 0.013 0.367 
 61 1.048987e+08 2.8697 3.6687 1.0020  8.0633 5.9853 0.0000 0.0000 0.2463 0.7535 0.000 0.825  0.355 0.777 0.785 0.617 0.621 0.734 0.000 0.013 0.383 
 62 1.050402e+08 2.9101 3.6667 0.9536  8.0553 6.0097 0.0000 0.0000 0.2463 0.7535 0.000 0.822  0.454 0.779 0.786 0.519 0.631 0.739 0.000 0.013 0.391 
