#n   age/yr      logL   logTef grav    logTc  logrho Xc     Yc     Xc_C   Xc_O   Q_conv Q_disc L_H/L Q1_H Q2_H L_He/L Q1_He Q2_He L_C/L L_nu/L Q_Tmax phase
#(1) (2)         (3)    (4)    (5)     (6)    (7)    (8)    (9)    (10)   (11)   (12)   (13)   (14) (15)  (16) (17)   (18)  (19)  (20)  (21)   (22)   (23) 
  1 0.000000e+00 1.7346 3.8058 2.7757  8.0773 4.2432 0.0000 0.9622 0.0376 0.0002 0.000 0.711  0.538 0.617 0.775 0.466 0.000 0.083 0.000 0.000 0.000 bcheb
  2 1.827137e+07 1.7373 3.8133 2.8030  8.0919 4.2077 0.0000 0.7124 0.2628 0.0247 0.268 0.711  0.433 0.619 0.737 0.572 0.000 0.097 0.000 0.000 0.000 
  3 3.437524e+07 1.7393 3.8196 2.8262  8.1062 4.1831 0.0000 0.5227 0.4026 0.0745 0.271 0.717  0.331 0.620 0.749 0.676 0.000 0.097 0.000 0.001 0.000 tmaxcheb
  4 4.854964e+07 1.7477 3.8096 2.7778  8.1221 4.1752 0.0000 0.3567 0.4924 0.1508 0.269 0.724  0.239 0.621 0.754 0.765 0.000 0.111 0.000 0.001 0.000 
  5 5.438086e+07 1.7542 3.7999 2.7325  8.1298 4.1784 0.0000 0.2939 0.5138 0.1922 0.271 0.726  0.208 0.621 0.754 0.799 0.000 0.111 0.000 0.001 0.000 
  6 5.926027e+07 1.7617 3.7897 2.6842  8.1372 4.1844 0.0000 0.2416 0.5236 0.2347 0.269 0.727  0.185 0.621 0.754 0.819 0.000 0.125 0.000 0.001 0.000 
  7 6.405748e+07 1.7712 3.7796 2.6343  8.1457 4.1950 0.0000 0.1913 0.5241 0.2845 0.268 0.729  0.168 0.622 0.752 0.836 0.000 0.125 0.000 0.001 0.000 
  8 6.952660e+07 1.7847 3.7698 2.5816  8.1571 4.2140 0.0000 0.1385 0.5097 0.3516 0.266 0.731  0.155 0.622 0.749 0.848 0.000 0.133 0.000 0.002 0.000 
  9 7.580964e+07 1.8048 3.7609 2.5259  8.1739 4.2508 0.0000 0.0826 0.4692 0.4481 0.269 0.732  0.154 0.623 0.743 0.848 0.000 0.138 0.000 0.002 0.000 
 10 8.108999e+07 1.8291 3.7532 2.4708  8.1932 4.3019 0.0000 0.0435 0.4076 0.5487 0.253 0.732  0.174 0.623 0.735 0.832 0.000 0.144 0.000 0.003 0.000 
 11 8.463570e+07 1.8591 3.7457 2.4108  8.2150 4.3685 0.0000 0.0197 0.3423 0.6378 0.260 0.734  0.222 0.623 0.725 0.772 0.000 0.149 0.000 0.005 0.000 
 12 8.596117e+07 1.8892 3.7391 2.3543  8.2343 4.4364 0.0000 0.0084 0.3117 0.6798 0.245 0.734  0.286 0.624 0.714 0.684 0.000 0.153 0.000 0.006 0.000 
 13 8.649308e+07 1.9219 3.7330 2.2972  8.2525 4.5057 0.0000 0.0033 0.2976 0.6990 0.226 0.734  0.360 0.624 0.704 0.573 0.000 0.156 0.000 0.008 0.000 
 14 8.675231e+07 1.9567 3.7279 2.2420  8.2710 4.5857 0.0000 0.0010 0.2908 0.7081 0.189 0.733  0.446 0.624 0.693 0.390 0.000 0.156 0.000 0.010 0.000 
 15 8.687165e+07 1.9923 3.7232 2.1876  8.2868 4.6739 0.0000 0.0002 0.2884 0.7113 0.114 0.733  0.529 0.624 0.685 0.140 0.000 0.329 0.000 0.011 0.000 
 16 8.693452e+07 2.0297 3.7196 2.1358  8.2889 4.7652 0.0000 0.0000 0.2879 0.7120 0.000 0.733  0.579 0.625 0.678 0.020 0.015 0.369 0.000 0.012 0.000 
 17 8.697942e+07 2.0678 3.7167 2.0861  8.2907 4.8268 0.0000 0.0000 0.2879 0.7120 0.000 0.733  0.592 0.625 0.674 0.026 0.037 0.372 0.000 0.012 0.000 
 18 8.702169e+07 2.1057 3.7137 2.0362  8.2947 4.8784 0.0000 0.0000 0.2879 0.7120 0.000 0.733  0.610 0.625 0.671 0.038 0.053 0.379 0.000 0.013 0.000 
 19 8.706385e+07 2.1400 3.7117 1.9939  8.2988 4.9194 0.0000 0.0000 0.2879 0.7120 0.000 0.733  0.626 0.625 0.669 0.054 0.065 0.387 0.000 0.013 0.000 
 20 8.710800e+07 2.1835 3.7087 1.9384  8.3035 4.9681 0.0000 0.0000 0.2879 0.7120 0.000 0.733  0.648 0.625 0.666 0.089 0.080 0.403 0.000 0.013 0.000 
 21 8.716328e+07 2.2157 3.7070 1.8994  8.3058 5.0031 0.0000 0.0000 0.2879 0.7120 0.000 0.732  0.659 0.626 0.664 0.137 0.090 0.410 0.000 0.013 0.000 
 22 8.722507e+07 2.2453 3.7051 1.8622  8.3017 5.0481 0.0000 0.0000 0.2879 0.7120 0.000 0.732  0.639 0.627 0.664 0.311 0.114 0.415 0.000 0.012 0.000 lmaxeagb
 23 8.734833e+07 2.2137 3.7073 1.9026  8.2843 5.0748 0.0000 0.0000 0.2879 0.7120 0.000 0.732  0.549 0.628 0.668 0.471 0.133 0.415 0.000 0.011 0.000 
 24 8.762084e+07 2.1682 3.7099 1.9585  8.2589 5.1315 0.0000 0.0000 0.2879 0.7120 0.000 0.732  0.390 0.629 0.671 0.605 0.154 0.424 0.000 0.010 0.000 
 25 8.799653e+07 2.1578 3.7106 1.9717  8.2336 5.1940 0.0000 0.0000 0.2879 0.7120 0.000 0.732  0.260 0.630 0.673 0.733 0.171 0.429 0.000 0.010 0.000 lmineagb
 26 8.911809e+07 2.1904 3.7082 1.9295  8.2015 5.2931 0.0000 0.0000 0.2879 0.7120 0.000 0.732  0.072 0.632 0.673 0.937 0.213 0.439 0.000 0.009 0.000 
 27 8.986797e+07 2.2285 3.7057 1.8814  8.1854 5.3362 0.0000 0.0000 0.2879 0.7120 0.000 0.732  0.032 0.632 0.672 0.971 0.221 0.446 0.000 0.008 0.000 
 28 9.071084e+07 2.2714 3.7034 1.8293  8.1704 5.3835 0.0000 0.0000 0.2879 0.7120 0.000 0.732  0.018 0.633 0.670 0.981 0.234 0.459 0.000 0.008 0.000 
 29 9.148602e+07 2.3159 3.7007 1.7740  8.1618 5.4272 0.0000 0.0000 0.2879 0.7120 0.000 0.732  0.012 0.633 0.667 0.985 0.246 0.467 0.000 0.008 0.067 
 30 9.219933e+07 2.3445 3.6991 1.7390  8.1584 5.4537 0.0000 0.0000 0.2879 0.7120 0.000 0.732  0.010 0.633 0.665 0.987 0.251 0.475 0.000 0.008 0.099 
 31 9.284488e+07 2.3856 3.6972 1.6903  8.1550 5.4907 0.0000 0.0000 0.2879 0.7120 0.000 0.733  0.007 0.633 0.663 0.988 0.262 0.483 0.000 0.008 0.124 
 32 9.341326e+07 2.4264 3.6948 1.6399  8.1526 5.5264 0.0000 0.0000 0.2879 0.7120 0.000 0.733  0.006 0.634 0.661 0.988 0.277 0.492 0.000 0.008 0.144 
 33 9.392708e+07 2.4660 3.6928 1.5923  8.1507 5.5605 0.0000 0.0000 0.2879 0.7120 0.000 0.733  0.005 0.634 0.660 0.987 0.297 0.501 0.000 0.009 0.155 
 34 9.438800e+07 2.5139 3.6903 1.5344  8.1484 5.6018 0.0000 0.0000 0.2879 0.7120 0.000 0.733  0.004 0.634 0.658 0.985 0.320 0.512 0.000 0.009 0.164 
 35 9.481277e+07 2.5505 3.6882 1.4894  8.1466 5.6345 0.0000 0.0000 0.2879 0.7120 0.000 0.728  0.005 0.634 0.657 0.982 0.338 0.522 0.000 0.009 0.179 
 36 9.520081e+07 2.5927 3.6863 1.4396  8.1443 5.6735 0.0000 0.0000 0.2879 0.7120 0.000 0.720  0.005 0.634 0.657 0.979 0.360 0.532 0.000 0.010 0.187 
 37 9.552517e+07 2.6339 3.6839 1.3888  8.1412 5.7084 0.0000 0.0000 0.2879 0.7120 0.000 0.715  0.006 0.634 0.656 0.978 0.391 0.542 0.000 0.010 0.194 
 38 9.585777e+07 2.6735 3.6822 1.3424  8.1366 5.7452 0.0000 0.0000 0.2879 0.7120 0.000 0.709  0.008 0.635 0.654 0.973 0.408 0.550 0.000 0.011 0.211 
 39 9.617660e+07 2.7165 3.6794 1.2882  8.1300 5.7887 0.0000 0.0000 0.2879 0.7120 0.000 0.703  0.013 0.635 0.653 0.966 0.429 0.561 0.000 0.011 0.226 
 40 9.649311e+07 2.7531 3.6777 1.2448  8.1227 5.8290 0.0000 0.0000 0.2879 0.7120 0.000 0.699  0.026 0.636 0.652 0.949 0.448 0.571 0.000 0.012 0.242 
 41 9.677490e+07 2.7936 3.6755 1.1955  8.1131 5.8740 0.0000 0.0000 0.2879 0.7120 0.000 0.696  0.058 0.638 0.651 0.914 0.469 0.583 0.000 0.013 0.258 
 42 9.701013e+07 2.8300 3.6733 1.1503  8.1041 5.9111 0.0000 0.0000 0.2879 0.7120 0.000 0.693  0.110 0.639 0.650 0.862 0.486 0.590 0.000 0.013 0.272 
 43 9.720348e+07 2.8708 3.6711 1.1007  8.0942 5.9477 0.0000 0.0000 0.2879 0.7120 0.000 0.690  0.186 0.641 0.651 0.785 0.501 0.599 0.000 0.014 0.287 
 44 9.737223e+07 2.9151 3.6685 1.0460  8.0836 5.9831 0.0000 0.0000 0.2879 0.7120 0.000 0.687  0.281 0.643 0.651 0.691 0.515 0.607 0.000 0.014 0.302 
 45 9.751317e+07 2.9515 3.6667 1.0024  8.0751 6.0084 0.0000 0.0000 0.2879 0.7120 0.000 0.684  0.366 0.645 0.652 0.604 0.524 0.612 0.000 0.013 0.309 
 46 9.764414e+07 2.9924 3.6640 0.9507  8.0654 6.0352 0.0000 0.0000 0.2879 0.7120 0.000 0.682  0.459 0.647 0.653 0.514 0.534 0.617 0.000 0.013 0.322 
 47 9.777967e+07 3.0350 3.6617 0.8989  8.0536 6.0643 0.0000 0.0000 0.2879 0.7120 0.000 0.681  0.543 0.649 0.654 0.432 0.544 0.622 0.000 0.013 0.334 
 48 9.788510e+07 3.0701 3.6594 0.8546  8.0446 6.0859 0.0000 0.0000 0.2879 0.7120 0.000 0.680  0.608 0.651 0.656 0.370 0.550 0.626 0.000 0.012 0.345 
 49 9.790418e+07 3.0476 3.6610 0.8835  8.0427 6.0862 0.0000 0.0000 0.2879 0.7120 0.000 0.679  0.537 0.652 0.656 0.484 0.553 0.627 0.000 0.013 0.345 
 50 9.791914e+07 3.1106 3.6573 0.8057  8.0422 6.0947 0.0000 0.0000 0.2879 0.7120 0.000 0.679  0.697 0.652 0.656 0.246 0.550 0.628 0.000 0.011 0.350 
 51 9.793668e+07 3.1299 3.6559 0.7808  8.0413 6.0995 0.0000 0.0000 0.2879 0.7120 0.000 0.676  0.732 0.653 0.656 0.246 0.552 0.628 0.000 0.011 0.350 1sttp
