#n   age/yr      logL   logTef Mact   Mcore C/O
#(1) (2)         (3)    (4)    (5)    (6)   (7)
  1 0.000000e+00 3.1496 3.6558 0.9000 0.5281 0.374
  2 2.358050e+05 3.1991 3.6525 0.9000 0.5300 0.374
  3 5.530250e+05 3.2696 3.6475 0.9000 0.5332 0.374
  4 9.190560e+05 3.3532 3.6417 0.9000 0.5380 0.374
  5 1.283990e+06 3.4354 3.6355 0.9000 0.5443 0.374
  6 1.627970e+06 3.5097 3.6299 0.9000 0.5517 0.374
  7 1.946610e+06 3.5744 3.6250 0.9000 0.5602 0.374
  8 2.238650e+06 3.6299 3.6207 0.8999 0.5695 0.374
  9 2.504210e+06 3.6771 3.6173 0.8996 0.5792 0.374
 10 2.744440e+06 3.7174 3.6142 0.8989 0.5892 0.374
 11 2.961220e+06 3.7519 3.6119 0.8976 0.5992 0.374
 12 3.156780e+06 3.7819 3.6096 0.8951 0.6091 0.374
 13 3.333440e+06 3.8081 3.6080 0.8908 0.6188 0.374
 14 3.493440e+06 3.8314 3.6067 0.8835 0.6281 0.374
 15 3.638820e+06 3.8524 3.6052 0.8713 0.6371 0.374
 16 3.771410e+06 3.8714 3.6046 0.8494 0.6459 0.374
