#n   age/yr      logL   logTef Mact   Mcore C/O
#(1) (2)         (3)    (4)    (5)    (6)   (7)
  1 0.000000e+00 3.1992 3.6454 0.6000 0.5095 0.473
  2 2.914130e+05 3.2218 3.6440 0.6000 0.5108 0.473
  3 6.588940e+05 3.2544 3.6416 0.6000 0.5129 0.473
  4 1.089990e+06 3.2978 3.6389 0.5999 0.5159 0.473
  5 1.546650e+06 3.3493 3.6357 0.5998 0.5201 0.473
  6 1.995360e+06 3.4043 3.6322 0.5995 0.5253 0.473
  7 2.422020e+06 3.4597 3.6297 0.5984 0.5317 0.473
  8 2.821710e+06 3.5132 3.6282 0.5953 0.5392 0.473
