#n   age/yr      logL   logTef Mact   Mcore C/O
#(1) (2)         (3)    (4)    (5)    (6)   (7)
  1 0.000000e+00 3.5406 3.6532 1.8000 0.5749 0.260
  2 1.342970e+05 3.5714 3.6511 1.8000 0.5776 4.165
  3 4.057130e+05 3.6280 3.6335 1.7997 0.5816 11.374
  4 7.038250e+05 3.6809 3.5940 1.7635 0.5849 14.649
  5 9.987150e+05 3.7186 3.5549 1.6430 0.5871 15.868
  6 1.291770e+06 3.7422 3.5179 1.4461 0.5883 16.399
  7 1.586900e+06 3.7585 3.4773 1.1705 0.5896 16.675
  8 1.885370e+06 3.7696 3.4419 0.8017 0.5908 16.825
