#n   age/yr      logL   logTef Mact   Mcore C/O
#(1) (2)         (3)    (4)    (5)    (6)   (7)
  1 0.000000e+00 3.1299 3.6542 0.8000 0.5216 0.387
  2 2.538680e+05 3.1732 3.6512 0.8000 0.5233 0.387
  3 5.889180e+05 3.2349 3.6469 0.8000 0.5261 0.387
  4 9.789030e+05 3.3107 3.6416 0.8000 0.5304 0.387
  5 1.374870e+06 3.3893 3.6357 0.8000 0.5360 0.387
  6 1.751880e+06 3.4631 3.6304 0.8000 0.5429 0.387
  7 2.103430e+06 3.5297 3.6253 0.7999 0.5508 0.387
  8 2.427370e+06 3.5883 3.6209 0.7997 0.5597 0.387
  9 2.723100e+06 3.6392 3.6173 0.7989 0.5692 0.387
 10 2.991260e+06 3.6832 3.6142 0.7969 0.5791 0.387
 11 3.233390e+06 3.7212 3.6119 0.7924 0.5892 0.387
 12 3.451650e+06 3.7542 3.6098 0.7828 0.5994 0.387
 13 3.648480e+06 3.7832 3.6090 0.7620 0.6093 0.387
