#n   age/yr      logL   logTef Mact   Mcore C/O
#(1) (2)         (3)    (4)    (5)    (6)   (7)
  1 0.000000e+00 3.4081 3.6613 1.7500 0.5639 0.261
  2 1.512650e+05 3.4521 3.6585 1.7500 0.5664 3.962
  3 4.536540e+05 3.5326 3.6413 1.7498 0.5702 11.168
  4 7.891220e+05 3.6086 3.6020 1.7164 0.5736 14.612
  5 1.121670e+06 3.6613 3.5611 1.5908 0.5756 15.876
  6 1.452980e+06 3.6968 3.5213 1.3777 0.5772 16.433
  7 1.785920e+06 3.7219 3.4747 1.0681 0.5788 16.710
  8 2.122150e+06 3.7408 3.4674 0.6493 0.5809 16.840
