#n   age/yr      logL   logTef grav    logTc  logrho Xc     Yc     Xc_C   Xc_O   Q_conv Q_disc L_H/L Q1_H Q2_H L_He/L Q1_He Q2_He L_C/L L_nu/L Q_Tmax phase
#(1) (2)         (3)    (4)    (5)     (6)    (7)    (8)    (9)    (10)   (11)   (12)   (13)   (14) (15)  (16) (17)   (18)  (19)  (20)  (21)   (22)   (23) 
  1 0.000000e+00 0.2074 3.8488 4.5718  7.1697 1.9951 0.7668 0.2331 0.0000 0.0000 0.053 0.198  1.002 0.000 0.380 0.000 0.000 0.000 0.000 0.000 0.000 bms
  2 6.128858e+08 0.2449 3.8525 4.5491  7.1817 2.0394 0.6932 0.3067 0.0000 0.0000 0.020 0.627  1.000 0.000 0.440 0.000 0.000 0.000 0.000 0.000 0.000 
  3 1.240218e+09 0.2831 3.8568 4.5281  7.1987 2.0987 0.6021 0.3978 0.0000 0.0000 0.008 0.690  1.000 0.000 0.454 0.000 0.000 0.000 0.000 0.000 0.000 
  4 1.819309e+09 0.3188 3.8607 4.5080  7.2151 2.1618 0.5104 0.4894 0.0000 0.0000 0.001 0.717  1.000 0.000 0.468 0.000 0.000 0.000 0.000 0.000 0.000 
  5 2.357358e+09 0.3560 3.8647 4.4868  7.2336 2.2372 0.4082 0.5917 0.0000 0.0000 0.000 0.734  1.000 0.000 0.468 0.000 0.000 0.000 0.000 0.000 0.000 
  6 2.831158e+09 0.3943 3.8688 4.4649  7.2514 2.3173 0.3159 0.6840 0.0000 0.0000 0.000 0.748  1.000 0.000 0.481 0.000 0.000 0.000 0.000 0.000 0.000 
  7 3.246111e+09 0.4322 3.8730 4.4438  7.2674 2.3986 0.2411 0.7588 0.0000 0.0000 0.000 0.755  1.000 0.000 0.494 0.000 0.000 0.000 0.000 0.000 0.000 
  8 3.610726e+09 0.4700 3.8774 4.4236  7.2825 2.4804 0.1841 0.8158 0.0000 0.0000 0.000 0.768  1.000 0.000 0.494 0.000 0.000 0.000 0.000 0.000 0.000 
  9 3.931432e+09 0.5067 3.8817 4.4041  7.2967 2.5586 0.1427 0.8572 0.0000 0.0000 0.000 0.768  1.000 0.000 0.507 0.000 0.000 0.000 0.000 0.000 0.000 
 10 4.216628e+09 0.5437 3.8860 4.3843  7.3114 2.6365 0.1106 0.8893 0.0000 0.0000 0.000 0.774  1.000 0.000 0.507 0.000 0.000 0.000 0.000 0.000 0.000 
