#n   age/yr      logL   logTef grav    logTc  logrho Xc     Yc     Xc_C   Xc_O   Q_conv Q_disc L_H/L Q1_H Q2_H L_He/L Q1_He Q2_He L_C/L L_nu/L Q_Tmax phase
#(1) (2)         (3)    (4)    (5)     (6)    (7)    (8)    (9)    (10)   (11)   (12)   (13)   (14) (15)  (16) (17)   (18)  (19)  (20)  (21)   (22)   (23) 
  1 -3.437279e-06 4.2721 4.5708 4.5712  7.6375 1.1352 0.7683 0.2316 0.0000 0.0000 0.470 0.471  1.006 0.000 0.380 0.000 0.000 0.000 0.000 0.000 0.000 bms
  2 2.039906e+06 4.3090 4.5700 4.5311  7.6427 1.1326 0.7139 0.2860 0.0000 0.0000 0.453 0.478  1.002 0.000 0.373 0.000 0.000 0.000 0.000 0.000 0.000 
  3 3.893108e+06 4.3496 4.5683 4.4837  7.6491 1.1324 0.6519 0.3480 0.0000 0.0000 0.435 0.483  1.002 0.000 0.365 0.000 0.000 0.000 0.000 0.000 0.000 
  4 5.521218e+06 4.3908 4.5655 4.4313  7.6561 1.1342 0.5873 0.4126 0.0000 0.0000 0.415 0.483  1.002 0.000 0.356 0.000 0.000 0.000 0.000 0.000 0.000 
  5 6.927592e+06 4.4287 4.5616 4.3778  7.6630 1.1380 0.5260 0.4739 0.0000 0.0000 0.397 0.483  1.003 0.000 0.347 0.000 0.000 0.000 0.000 0.000 0.000 
  6 8.139805e+06 4.4632 4.5569 4.3245  7.6697 1.1437 0.4682 0.5317 0.0000 0.0000 0.381 0.485  1.003 0.000 0.337 0.000 0.000 0.000 0.000 0.000 0.000 
  7 9.165278e+06 4.4978 4.5506 4.2647  7.6771 1.1518 0.4082 0.5918 0.0000 0.0000 0.367 0.485  1.003 0.000 0.326 0.000 0.000 0.000 0.000 0.000 0.000 
  8 1.001897e+07 4.5276 4.5440 4.2085  7.6841 1.1621 0.3556 0.6443 0.0000 0.0000 0.350 0.485  1.003 0.000 0.315 0.000 0.000 0.000 0.000 0.000 0.000 
  9 1.072852e+07 4.5555 4.5363 4.1498  7.6915 1.1750 0.3052 0.6947 0.0000 0.0000 0.334 0.485  1.003 0.000 0.304 0.000 0.000 0.000 0.000 0.000 0.000 
 10 1.132582e+07 4.5805 4.5281 4.0920  7.6989 1.1893 0.2581 0.7418 0.0000 0.0000 0.323 0.485  1.003 0.000 0.293 0.000 0.000 0.000 0.000 0.000 0.000 
