#n   age/yr      logL   logTef grav    logTc  logrho Xc     Yc     Xc_C   Xc_O   Q_conv Q_disc L_H/L Q1_H Q2_H L_He/L Q1_He Q2_He L_C/L L_nu/L Q_Tmax phase
#(1) (2)         (3)    (4)    (5)     (6)    (7)    (8)    (9)    (10)   (11)   (12)   (13)   (14) (15)  (16) (17)   (18)  (19)  (20)  (21)   (22)   (23) 
  1 0.000000e+00 1.0664 4.0342 4.6585  7.3170 1.9942 0.7670 0.2329 0.0000 0.0000 0.229 0.234  1.001 0.000 0.560 0.000 0.000 0.000 0.000 0.000 0.000 bms
  2 1.818676e+08 1.1035 4.0384 4.6382  7.3298 2.0176 0.7165 0.2834 0.0000 0.0000 0.220 0.636  1.001 0.000 0.617 0.000 0.000 0.000 0.000 0.000 0.000 
  3 3.575894e+08 1.1392 4.0421 4.6173  7.3433 2.0427 0.6649 0.3350 0.0000 0.0000 0.210 0.699  1.001 0.000 0.617 0.000 0.000 0.000 0.000 0.000 0.000 
  4 5.086822e+08 1.1777 4.0463 4.5956  7.3589 2.0749 0.6092 0.3907 0.0000 0.0000 0.195 0.728  1.001 0.000 0.617 0.000 0.000 0.000 0.000 0.000 0.000 
  5 6.472813e+08 1.2131 4.0499 4.5746  7.3751 2.1089 0.5551 0.4448 0.0000 0.0000 0.188 0.744  1.001 0.000 0.617 0.000 0.000 0.000 0.000 0.000 0.000 
  6 7.665176e+08 1.2526 4.0541 4.5519  7.3948 2.1526 0.4951 0.5048 0.0000 0.0000 0.180 0.759  1.001 0.000 0.626 0.000 0.000 0.000 0.000 0.000 0.000 
  7 8.728600e+08 1.2898 4.0575 4.5283  7.4143 2.1978 0.4380 0.5619 0.0000 0.0000 0.168 0.764  1.001 0.000 0.626 0.000 0.000 0.000 0.000 0.000 0.000 
  8 9.534612e+08 1.3242 4.0588 4.4991  7.4322 2.2386 0.3815 0.6184 0.0000 0.0000 0.159 0.773  1.001 0.000 0.617 0.000 0.000 0.000 0.000 0.000 0.000 tmaxms
  9 1.050810e+09 1.3640 4.0567 4.4509  7.4531 2.2824 0.3079 0.6920 0.0000 0.0000 0.149 0.778  1.001 0.000 0.599 0.000 0.000 0.000 0.000 0.000 0.000 
 10 1.128971e+09 1.3965 4.0512 4.3964  7.4703 2.3161 0.2412 0.7587 0.0000 0.0000 0.141 0.778  1.002 0.000 0.550 0.000 0.000 0.000 0.000 0.000 0.000 
 11 1.188728e+09 1.4249 4.0434 4.3368  7.4863 2.3481 0.1779 0.8220 0.0000 0.0000 0.133 0.782  1.002 0.000 0.508 0.000 0.000 0.000 0.000 0.000 0.000 
 12 1.236500e+09 1.4484 4.0351 4.2801  7.5019 2.3819 0.1216 0.8783 0.0000 0.0000 0.125 0.782  1.002 0.000 0.463 0.000 0.000 0.000 0.000 0.000 0.000 
 13 1.279568e+09 1.4735 4.0269 4.2222  7.5241 2.4381 0.0616 0.9383 0.0000 0.0000 0.113 0.782  1.001 0.000 0.430 0.000 0.000 0.000 0.000 0.000 0.000 
 14 1.292955e+09 1.4833 4.0258 4.2080  7.5357 2.4707 0.0408 0.9591 0.0000 0.0000 0.109 0.782  1.000 0.000 0.417 0.000 0.000 0.000 0.000 0.000 0.000 tminms
 15 1.311025e+09 1.5055 4.0335 4.2166  7.5684 2.5749 0.0110 0.9889 0.0000 0.0000 0.100 0.782  0.991 0.000 0.438 0.000 0.000 0.000 0.000 0.000 0.000 
 16 1.314792e+09 1.5184 4.0420 4.2377  7.5866 2.6423 0.0049 0.9950 0.0000 0.0000 0.094 0.782  0.977 0.000 0.478 0.000 0.000 0.000 0.000 0.000 0.000 
 17 1.316371e+09 1.5366 4.0528 4.2627  7.6076 2.7331 0.0017 0.9982 0.0000 0.0000 0.086 0.782  0.943 0.000 0.560 0.000 0.000 0.000 0.000 0.000 0.000 
 18 1.317196e+09 1.5569 4.0616 4.2776  7.6257 2.8473 0.0005 0.9994 0.0000 0.0000 0.069 0.782  0.894 0.000 0.617 0.000 0.000 0.000 0.000 0.000 0.000 
 19 1.317532e+09 1.5683 4.0651 4.2802  7.6327 2.9632 0.0002 0.9997 0.0000 0.0000 0.043 0.782  0.895 0.000 0.655 0.000 0.000 0.000 0.000 0.000 0.000 tmaxlms
 20 1.317985e+09 1.5588 4.0560 4.2533  7.5885 3.2349 0.0000 0.9999 0.0000 0.0000 0.000 0.782  1.119 0.000 0.636 0.000 0.000 0.000 0.000 0.000 0.000 lminsgb
 21 1.318357e+09 1.5766 4.0471 4.1999  7.5755 3.3489 0.0000 0.9999 0.0000 0.0000 0.000 0.782  1.076 0.011 0.599 0.000 0.000 0.000 0.000 0.000 0.000 
 22 1.319026e+09 1.5976 4.0379 4.1421  7.5631 3.4669 0.0000 0.9999 0.0000 0.0000 0.000 0.782  1.039 0.022 0.550 0.000 0.000 0.000 0.000 0.000 0.000 
 23 1.320303e+09 1.6099 4.0289 4.0938  7.5532 3.5749 0.0000 0.9999 0.0000 0.0000 0.000 0.782  1.020 0.034 0.508 0.000 0.000 0.000 0.000 0.000 0.000 
 24 1.322382e+09 1.6200 4.0189 4.0437  7.5488 3.6868 0.0000 0.9999 0.0000 0.0000 0.000 0.782  1.012 0.050 0.471 0.000 0.000 0.000 0.000 0.000 0.000 
 25 1.324899e+09 1.6290 4.0087 3.9939  7.5539 3.7874 0.0000 0.9999 0.0000 0.0000 0.000 0.782  1.010 0.066 0.447 0.000 0.000 0.000 0.000 0.000 0.000 
 26 1.327268e+09 1.6362 3.9993 3.9491  7.5639 3.8667 0.0000 0.9999 0.0000 0.0000 0.000 0.782  1.010 0.077 0.424 0.000 0.000 0.000 0.000 0.000 0.000 
 27 1.329322e+09 1.6417 3.9912 3.9112  7.5744 3.9271 0.0000 0.9999 0.0000 0.0000 0.000 0.782  1.010 0.084 0.404 0.000 0.000 0.000 0.000 0.000 0.000 
 28 1.331041e+09 1.6469 3.9820 3.8692  7.5869 3.9882 0.0000 0.9999 0.0000 0.0000 0.000 0.782  1.011 0.089 0.384 0.000 0.000 0.000 0.000 0.000 0.000 
 29 1.332482e+09 1.6520 3.9714 3.8217  7.6013 4.0496 0.0000 0.9999 0.0000 0.0000 0.000 0.782  1.012 0.095 0.364 0.000 0.000 0.000 0.000 0.000 0.000 
 30 1.333728e+09 1.6567 3.9594 3.7690  7.6167 4.1109 0.0000 0.9999 0.0000 0.0000 0.000 0.782  1.014 0.099 0.335 0.000 0.000 0.000 0.000 0.000 0.000 
 31 1.334812e+09 1.6588 3.9527 3.7401  7.6249 4.1416 0.0000 0.9999 0.0000 0.0000 0.000 0.782  1.015 0.102 0.328 0.000 0.000 0.000 0.000 0.000 0.000 
 32 1.335773e+09 1.6626 3.9380 3.6775  7.6416 4.2028 0.0000 0.9999 0.0000 0.0000 0.000 0.782  1.016 0.106 0.301 0.000 0.000 0.000 0.000 0.000 0.000 
 33 1.336631e+09 1.6643 3.9299 3.6434  7.6501 4.2333 0.0000 0.9999 0.0000 0.0000 0.000 0.782  1.017 0.108 0.295 0.000 0.000 0.000 0.000 0.000 0.000 
 34 1.337406e+09 1.6658 3.9212 3.6071  7.6587 4.2637 0.0000 0.9999 0.0000 0.0000 0.000 0.782  1.018 0.111 0.279 0.000 0.000 0.000 0.000 0.000 0.000 
 35 1.338107e+09 1.6670 3.9118 3.5683  7.6673 4.2941 0.0000 0.9999 0.0000 0.0000 0.000 0.782  1.019 0.112 0.269 0.000 0.000 0.000 0.000 0.000 0.000 
 36 1.338763e+09 1.6680 3.8967 3.5069  7.6800 4.3382 0.0000 0.9999 0.0000 0.0000 0.000 0.782  1.022 0.117 0.256 0.000 0.000 0.000 0.000 0.000 0.000 
 37 1.339361e+09 1.6685 3.8867 3.4664  7.6877 4.3651 0.0000 0.9999 0.0000 0.0000 0.000 0.782  1.022 0.118 0.247 0.000 0.000 0.000 0.000 0.000 0.000 
 38 1.339795e+09 1.6686 3.8808 3.4427  7.6921 4.3801 0.0000 0.9999 0.0000 0.0000 0.000 0.782  1.023 0.119 0.244 0.000 0.000 0.000 0.000 0.000 0.000 lmaxsgb
 39 1.340318e+09 1.6685 3.8687 3.3944  7.7003 4.4087 0.0000 0.9999 0.0000 0.0000 0.000 0.782  1.024 0.122 0.235 0.000 0.000 0.000 0.000 0.000 0.000 
 40 1.340806e+09 1.6682 3.8577 3.3507  7.7072 4.4328 0.0000 0.9999 0.0000 0.0000 0.000 0.782  1.024 0.123 0.227 0.000 0.000 0.000 0.000 0.000 0.000 
 41 1.341265e+09 1.6678 3.8510 3.3243  7.7111 4.4467 0.0000 0.9999 0.0000 0.0000 0.000 0.782  1.025 0.124 0.222 0.000 0.000 0.000 0.000 0.000 0.000 
 42 1.341700e+09 1.6673 3.8434 3.2944  7.7155 4.4619 0.0000 0.9999 0.0000 0.0000 0.000 0.782  1.026 0.125 0.218 0.000 0.000 0.000 0.000 0.000 0.000 
 43 1.342110e+09 1.6664 3.8346 3.2601  7.7202 4.4786 0.0000 0.9999 0.0000 0.0000 0.000 0.782  1.026 0.127 0.216 0.000 0.000 0.000 0.000 0.000 0.000 
 44 1.342520e+09 1.6642 3.8167 3.1907  7.7292 4.5108 0.0000 0.9999 0.0000 0.0000 0.000 0.782  1.028 0.129 0.209 0.000 0.000 0.000 0.000 0.000 0.000 
 45 1.342955e+09 1.6624 3.8065 3.1517  7.7346 4.5302 0.0000 0.9999 0.0000 0.0000 0.000 0.782  1.030 0.130 0.204 0.000 0.000 0.000 0.000 0.000 0.000 
 46 1.343457e+09 1.6605 3.7986 3.1220  7.7392 4.5470 0.0000 0.9999 0.0000 0.0000 0.000 0.782  1.030 0.131 0.200 0.000 0.000 0.000 0.000 0.000 0.000 
 47 1.344089e+09 1.6560 3.7867 3.0789  7.7476 4.5779 0.0000 0.9999 0.0000 0.0000 0.000 0.782  1.032 0.134 0.195 0.000 0.000 0.000 0.000 0.000 0.000 
 48 1.344845e+09 1.6494 3.7767 3.0455  7.7561 4.6097 0.0000 0.9999 0.0000 0.0000 0.000 0.782  1.036 0.136 0.191 0.000 0.000 0.000 0.000 0.000 0.000 
 49 1.345728e+09 1.6419 3.7695 3.0242  7.7629 4.6360 0.0000 0.9999 0.0000 0.0000 0.000 0.782  1.039 0.137 0.187 0.000 0.000 0.000 0.000 0.000 0.000 
 50 1.346752e+09 1.6242 3.7578 2.9951  7.7752 4.6847 0.0000 0.9999 0.0000 0.0000 0.000 0.782  1.043 0.141 0.182 0.000 0.000 0.000 0.000 0.000 0.000 
 51 1.347964e+09 1.6128 3.7504 2.9769  7.7844 4.7239 0.0000 0.9999 0.0000 0.0000 0.000 0.782  1.039 0.143 0.179 0.000 0.000 0.000 0.000 0.000 0.000 brgb
