#n   age/yr      logL   logTef Mact   Mcore C/O
#(1) (2)         (3)    (4)    (5)    (6)   (7)
  1 0.000000e+00 4.2967 3.6492 5.0000 0.9785 0.263
  2 1.100300e+03 4.3193 3.6476 5.0000 0.9787 0.332
  3 2.667950e+03 4.3477 3.6455 5.0000 0.9789 0.436
  4 4.284190e+03 4.3737 3.6433 5.0000 0.9789 0.547
  5 5.916790e+03 4.3976 3.6410 5.0000 0.9789 0.662
  6 7.563320e+03 4.4195 3.6390 5.0000 0.9790 0.780
  7 9.223630e+03 4.4397 3.6372 5.0000 0.9790 0.896
  8 1.089770e+04 4.4584 3.6353 5.0000 0.9791 0.973
  9 1.258560e+04 4.4758 3.6333 5.0000 0.9791 0.895
 10 1.428720e+04 4.4919 3.6315 5.0000 0.9791 0.544
 11 1.600260e+04 4.5069 3.6299 5.0000 0.9792 0.179
 12 1.773170e+04 4.5209 3.6283 5.0000 0.9792 0.137
 13 1.947470e+04 4.5340 3.6269 5.0000 0.9793 0.151
 14 2.123130e+04 4.5462 3.6255 5.0000 0.9793 0.168
 15 2.300160e+04 4.5577 3.6238 5.0000 0.9794 0.188
 16 2.478540e+04 4.5684 3.6225 5.0000 0.9794 0.211
 17 2.658260e+04 4.5785 3.6208 5.0000 0.9794 0.240
 18 2.839320e+04 4.5879 3.6197 5.0000 0.9795 0.274
 19 3.021710e+04 4.5968 3.6184 5.0000 0.9795 0.314
 20 3.205420e+04 4.6051 3.6169 5.0000 0.9796 0.360
 21 3.390440e+04 4.6130 3.6157 5.0000 0.9796 0.412
 22 3.576740e+04 4.6204 3.6142 5.0000 0.9797 0.472
 23 3.764330e+04 4.6273 3.6132 5.0000 0.9797 0.539
 24 3.953190e+04 4.6339 3.6116 5.0000 0.9798 0.613
 25 4.143300e+04 4.6401 3.6106 5.0000 0.9798 0.696
 26 4.334650e+04 4.6459 3.6091 5.0000 0.9799 0.784
 27 4.527230e+04 4.6515 3.6082 5.0000 0.9799 0.875
 28 4.721010e+04 4.6567 3.6067 5.0000 0.9800 0.979
 29 4.915990e+04 4.6617 3.6058 5.0000 0.9800 1.089
 30 5.112140e+04 4.6664 3.6043 5.0000 0.9801 1.205
 31 5.309440e+04 4.6708 3.6034 5.0000 0.9801 1.326
 32 5.507890e+04 4.6751 3.6020 5.0000 0.9802 1.453
 33 5.707460e+04 4.6791 3.6010 5.0000 0.9802 1.581
 34 5.908120e+04 4.6829 3.5997 5.0000 0.9803 1.711
 35 6.109870e+04 4.6866 3.5986 5.0000 0.9803 1.840
 36 6.312680e+04 4.6901 3.5974 5.0000 0.9804 1.967
 37 6.516540e+04 4.6934 3.5960 5.0000 0.9804 2.093
 38 6.721420e+04 4.6966 3.5951 5.0000 0.9805 2.215
 39 6.927300e+04 4.6996 3.5938 4.9999 0.9805 2.331
 40 7.134160e+04 4.7026 3.5928 4.9999 0.9806 2.441
 41 7.341990e+04 4.7054 3.5916 4.9999 0.9807 2.545
 42 7.550760e+04 4.7081 3.5901 4.9999 0.9807 2.641
