#n   age/yr      logL   logTef Mact   Mcore C/O
#(1) (2)         (3)    (4)    (5)    (6)   (7)
 43 7.760450e+04 4.7107 3.5893 4.9999 0.9808 2.729
 44 7.971040e+04 4.7132 3.5880 4.9999 0.9808 2.809
 45 8.182510e+04 4.7156 3.5871 4.9999 0.9809 2.881
 46 8.394830e+04 4.7180 3.5859 4.9999 0.9809 2.944
 47 8.608000e+04 4.7202 3.5847 4.9999 0.9810 3.000
 48 8.821980e+04 4.7225 3.5837 4.9999 0.9810 3.049
 49 9.036750e+04 4.7246 3.5824 4.9999 0.9811 3.091
 50 9.252310e+04 4.7267 3.5816 4.9999 0.9812 3.127
 51 9.468620e+04 4.7287 3.5803 4.9999 0.9812 3.156
 52 9.685660e+04 4.7307 3.5794 4.9999 0.9813 3.180
 53 9.903420e+04 4.7327 3.5782 4.9998 0.9813 3.200
 54 1.012190e+05 4.7346 3.5768 4.9998 0.9814 3.214
 55 1.034100e+05 4.7365 3.5761 4.9998 0.9815 3.225
 56 1.056080e+05 4.7384 3.5748 4.9998 0.9815 3.232
 57 1.078120e+05 4.7402 3.5740 4.9998 0.9816 3.236
 58 1.100220e+05 4.7420 3.5728 4.9998 0.9816 3.237
 59 1.122390e+05 4.7437 3.5718 4.9998 0.9817 3.236
 60 1.144610e+05 4.7455 3.5707 4.9998 0.9817 3.233
 61 1.166880e+05 4.7472 3.5694 4.9997 0.9818 3.227
 62 1.189210e+05 4.7489 3.5686 4.9997 0.9819 3.220
 63 1.211600e+05 4.7506 3.5674 4.9997 0.9819 3.212
 64 1.234030e+05 4.7523 3.5665 4.9997 0.9820 3.202
 65 1.256510e+05 4.7540 3.5654 4.9997 0.9821 3.192
 66 1.279040e+05 4.7556 3.5640 4.9997 0.9821 3.180
 67 1.301620e+05 4.7573 3.5633 4.9996 0.9822 3.167
 68 1.324240e+05 4.7589 3.5621 4.9996 0.9822 3.155
 69 1.346900e+05 4.7606 3.5613 4.9996 0.9823 3.141
 70 1.369600e+05 4.7622 3.5601 4.9996 0.9824 3.117
 71 1.392340e+05 4.7638 3.5590 4.9996 0.9824 3.103
 72 1.415120e+05 4.7654 3.5581 4.9995 0.9825 3.090
 73 1.437930e+05 4.7670 3.5568 4.9995 0.9825 3.075
 74 1.460780e+05 4.7686 3.5561 4.9995 0.9826 3.061
 75 1.483660e+05 4.7703 3.5549 4.9995 0.9827 3.048
 76 1.506580e+05 4.7719 3.5541 4.9995 0.9827 3.034
 77 1.529520e+05 4.7735 3.5530 4.9994 0.9828 3.019
 78 1.552490e+05 4.7751 3.5517 4.9994 0.9829 3.005
 79 1.575490e+05 4.7766 3.5510 4.9994 0.9829 2.991
 80 1.598520e+05 4.7782 3.5498 4.9994 0.9830 2.977
 81 1.621570e+05 4.7798 3.5488 4.9993 0.9830 2.963
 82 1.644640e+05 4.7814 3.5479 4.9993 0.9831 2.944
 83 1.667740e+05 4.7830 3.5467 4.9993 0.9832 2.925
 84 1.690860e+05 4.7846 3.5460 4.9993 0.9832 2.906
 85 1.713990e+05 4.7862 3.5449 4.9992 0.9833 2.888
 86 1.737150e+05 4.7878 3.5440 4.9992 0.9834 2.870
 87 1.760330e+05 4.7894 3.5430 4.9992 0.9834 2.853
 88 1.783520e+05 4.7910 3.5418 4.9991 0.9835 2.836
 89 1.806730e+05 4.7926 3.5412 4.9991 0.9836 2.820
 90 1.829950e+05 4.7942 3.5401 4.9991 0.9836 2.804
 91 1.853190e+05 4.7958 3.5388 4.9990 0.9837 2.788
 92 1.876440e+05 4.7974 3.5382 4.9990 0.9838 2.773
 93 1.899710e+05 4.7990 3.5371 4.9990 0.9838 2.764
 94 1.922980e+05 4.8006 3.5364 4.9989 0.9839 2.755
 95 1.946270e+05 4.8022 3.5353 4.9989 0.9840 2.746
 96 1.969560e+05 4.8038 3.5342 4.9989 0.9840 2.737
 97 1.992860e+05 4.8054 3.5335 4.9989 0.9841 2.729
 98 2.016180e+05 4.8070 3.5324 4.9988 0.9842 2.721
 99 2.039500e+05 4.8086 3.5313 4.9987 0.9842 2.713
100 2.062820e+05 4.8102 3.5307 4.9986 0.9843 2.705
101 2.086150e+05 4.8118 3.5297 4.9984 0.9843 2.698
102 2.109490e+05 4.8134 3.5285 4.9981 0.9844 2.690
103 2.132840e+05 4.8149 3.5279 4.9975 0.9845 2.683
104 2.156200e+05 4.8164 3.5269 4.9964 0.9845 2.675
105 2.179570e+05 4.8177 3.5258 4.9944 0.9846 2.668
106 2.202960e+05 4.8189 3.5252 4.9911 0.9847 2.659
107 2.226380e+05 4.8199 3.5242 4.9860 0.9847 2.651
108 2.249860e+05 4.8207 3.5230 4.9800 0.9848 2.642
109 2.273400e+05 4.8215 3.5225 4.9735 0.9849 2.634
110 2.297010e+05 4.8222 3.5215 4.9663 0.9850 2.625
111 2.320690e+05 4.8228 3.5204 4.9588 0.9850 2.615
112 2.344440e+05 4.8234 3.5198 4.9509 0.9851 2.606
113 2.368280e+05 4.8239 3.5188 4.9424 0.9852 2.596
114 2.392200e+05 4.8244 3.5177 4.9335 0.9852 2.586
115 2.416210e+05 4.8248 3.5171 4.9244 0.9853 2.576
116 2.440310e+05 4.8252 3.5162 4.9151 0.9854 2.565
117 2.464500e+05 4.8256 3.5150 4.9055 0.9854 2.554
118 2.488790e+05 4.8259 3.5145 4.8958 0.9855 2.543
119 2.513180e+05 4.8262 3.5135 4.8857 0.9856 2.532
120 2.537660e+05 4.8265 3.5124 4.8754 0.9856 2.521
121 2.562250e+05 4.8267 3.5119 4.8647 0.9857 2.509
122 2.586940e+05 4.8269 3.5109 4.8538 0.9858 2.497
123 2.611740e+05 4.8270 3.5098 4.8423 0.9858 2.486
124 2.636660e+05 4.8271 3.5093 4.8303 0.9859 2.470
125 2.661690e+05 4.8270 3.5083 4.8177 0.9860 2.455
126 2.686840e+05 4.8269 3.5077 4.8046 0.9860 2.454
127 2.712130e+05 4.8267 3.5067 4.7913 0.9861 2.440
128 2.737540e+05 4.8265 3.5057 4.7776 0.9862 2.424
129 2.763090e+05 4.8263 3.5046 4.7636 0.9862 2.409
130 2.788780e+05 4.8260 3.5041 4.7494 0.9863 2.398
131 2.814610e+05 4.8257 3.5032 4.7348 0.9863 2.385
132 2.840580e+05 4.8253 3.5020 4.7199 0.9864 2.372
133 2.866690e+05 4.8248 3.5015 4.7047 0.9865 2.358
134 2.892960e+05 4.8243 3.5006 4.6891 0.9865 2.344
135 2.919390e+05 4.8238 3.4998 4.6732 0.9866 2.330
136 2.945970e+05 4.8232 3.4990 4.6569 0.9866 2.317
137 2.972710e+05 4.8225 3.4980 4.6402 0.9867 2.303
138 2.999610e+05 4.8218 3.4971 4.6232 0.9868 2.289
139 3.026690e+05 4.8211 3.4964 4.6058 0.9868 2.275
140 3.053940e+05 4.8202 3.4954 4.5880 0.9869 2.261
141 3.081360e+05 4.8193 3.4945 4.5698 0.9869 2.247
142 3.108970e+05 4.8184 3.4939 4.5512 0.9870 2.232
143 3.136760e+05 4.8173 3.4929 4.5322 0.9870 2.218
144 3.164740e+05 4.8162 3.4920 4.5127 0.9871 2.203
145 3.192920e+05 4.8150 3.4913 4.4929 0.9871 2.188
146 3.221300e+05 4.8138 3.4903 4.4726 0.9872 2.173
147 3.249880e+05 4.8125 3.4897 4.4519 0.9872 2.158
148 3.278670e+05 4.8111 3.4887 4.4307 0.9873 2.143
149 3.307670e+05 4.8096 3.4877 4.4090 0.9873 2.128
150 3.336900e+05 4.8080 3.4871 4.3868 0.9874 2.113
151 3.366350e+05 4.8064 3.4861 4.3642 0.9874 2.097
152 3.396030e+05 4.8046 3.4851 4.3410 0.9875 2.082
153 3.425940e+05 4.8028 3.4845 4.3174 0.9875 2.066
154 3.456100e+05 4.8009 3.4836 4.2933 0.9875 2.050
155 3.486510e+05 4.7989 3.4825 4.2686 0.9876 2.034
156 3.517170e+05 4.7968 3.4819 4.2434 0.9876 2.018
157 3.548090e+05 4.7946 3.4809 4.2176 0.9876 2.002
158 3.579280e+05 4.7922 3.4803 4.1913 0.9877 1.986
159 3.610740e+05 4.7898 3.4793 4.1644 0.9877 1.970
160 3.642490e+05 4.7873 3.4783 4.1368 0.9877 1.954
161 3.674520e+05 4.7846 3.4777 4.1087 0.9877 1.937
162 3.706850e+05 4.7819 3.4767 4.0800 0.9877 1.921
163 3.739490e+05 4.7790 3.4756 4.0505 0.9878 1.904
164 3.772430e+05 4.7760 3.4750 4.0206 0.9878 1.888
165 3.805650e+05 4.7728 3.4740 3.9900 0.9878 1.871
166 3.839110e+05 4.7696 3.4734 3.9587 0.9878 1.855
167 3.872830e+05 4.7662 3.4724 3.9269 0.9878 1.839
168 3.906800e+05 4.7627 3.4714 3.8944 0.9878 1.823
169 3.941040e+05 4.7591 3.4707 3.8613 0.9878 1.806
170 3.975540e+05 4.7553 3.4696 3.8276 0.9878 1.798
171 4.010310e+05 4.7512 3.4685 3.7920 0.9879 1.781
172 4.045360e+05 4.7471 3.4679 3.7562 0.9879 1.765
173 4.080690e+05 4.7427 3.4669 3.7193 0.9879 1.748
174 4.116310e+05 4.7382 3.4662 3.6816 0.9879 1.731
175 4.152210e+05 4.7335 3.4652 3.6432 0.9879 1.715
176 4.188400e+05 4.7286 3.4645 3.6039 0.9879 1.699
177 4.224890e+05 4.7236 3.4634 3.5639 0.9879 1.683
178 4.261680e+05 4.7184 3.4627 3.5230 0.9879 1.667
179 4.298770e+05 4.7130 3.4616 3.4813 0.9880 1.652
180 4.336160e+05 4.7074 3.4604 3.4387 0.9880 1.637
181 4.373860e+05 4.7016 3.4598 3.3950 0.9880 1.622
182 4.411870e+05 4.6955 3.4587 3.3497 0.9880 1.607
183 4.450190e+05 4.6894 3.4579 3.3047 0.9880 1.594
184 4.488830e+05 4.6830 3.4568 3.2583 0.9880 1.581
185 4.527780e+05 4.6764 3.4556 3.2108 0.9880 1.569
186 4.567060e+05 4.6695 3.4549 3.1620 0.9880 1.558
187 4.606660e+05 4.6624 3.4537 3.1118 0.9881 1.549
188 4.646590e+05 4.6549 3.4525 3.0600 0.9881 1.541
189 4.686850e+05 4.6471 3.4512 3.0066 0.9881 1.535
190 4.727460e+05 4.6390 3.4500 2.9513 0.9881 1.575
191 4.768400e+05 4.6303 3.4475 2.8930 0.9881 1.591
192 4.809710e+05 4.6209 3.4457 2.8303 0.9881 1.607
193 4.851390e+05 4.6108 3.4439 2.7640 0.9882 1.633
194 4.893470e+05 4.6000 3.4417 2.6935 0.9882 1.746
195 4.935950e+05 4.5879 3.4378 2.6146 0.9882 1.772
196 4.978880e+05 4.5743 3.4354 2.5262 0.9882 1.943
197 5.022290e+05 4.5591 3.4308 2.4270 0.9882 2.170
198 5.066220e+05 4.5416 3.4259 2.3112 0.9883 2.513
199 5.110750e+05 4.5210 3.4199 2.1710 0.9883 3.055
200 5.155970e+05 4.4961 3.4128 1.9894 0.9883 3.819
201 5.202020e+05 4.4644 3.4064 1.7241 0.9884 4.765
