#n   age/yr      logL   logTef grav    logTc  logrho Xc     Yc     Xc_C   Xc_O   Q_conv Q_disc L_H/L Q1_H Q2_H L_He/L Q1_He Q2_He L_C/L L_nu/L Q_Tmax phase
#(1) (2)         (3)    (4)    (5)     (6)    (7)    (8)    (9)    (10)   (11)   (12)   (13)   (14) (15)  (16) (17)   (18)  (19)  (20)  (21)   (22)   (23) 
  1 0.000000e+00 0.7016 3.9524 4.6059  7.2547 2.0023 0.7667 0.2332 0.0000 0.0000 0.165 0.233  1.001 0.000 0.500 0.000 0.000 0.000 0.000 0.000 0.000 bms
  2 2.952137e+08 0.7353 3.9569 4.5902  7.2667 2.0288 0.7184 0.2814 0.0000 0.0000 0.158 0.629  1.000 0.000 0.552 0.000 0.000 0.000 0.000 0.000 0.000 
  3 5.946063e+08 0.7717 3.9616 4.5726  7.2818 2.0615 0.6611 0.3388 0.0000 0.0000 0.151 0.692  1.000 0.000 0.552 0.000 0.000 0.000 0.000 0.000 0.000 
  4 8.708842e+08 0.8094 3.9662 4.5533  7.2987 2.0993 0.5998 0.4001 0.0000 0.0000 0.142 0.723  1.000 0.000 0.562 0.000 0.000 0.000 0.000 0.000 0.000 
  5 1.123359e+09 0.8446 3.9700 4.5333  7.3151 2.1372 0.5411 0.4588 0.0000 0.0000 0.134 0.742  1.000 0.000 0.562 0.000 0.000 0.000 0.000 0.000 0.000 
  6 1.348159e+09 0.8855 3.9743 4.5096  7.3360 2.1892 0.4715 0.5284 0.0000 0.0000 0.122 0.751  1.000 0.000 0.562 0.000 0.000 0.000 0.000 0.000 0.000 
  7 1.535873e+09 0.9207 3.9785 4.4912  7.3556 2.2424 0.4124 0.5875 0.0000 0.0000 0.109 0.760  1.000 0.000 0.572 0.000 0.000 0.000 0.000 0.000 0.000 
  8 1.693740e+09 0.9592 3.9833 4.4719  7.3787 2.3113 0.3484 0.6515 0.0000 0.0000 0.093 0.764  1.000 0.000 0.572 0.000 0.000 0.000 0.000 0.000 0.000 
  9 1.842434e+09 0.9973 3.9871 4.4490  7.4032 2.3876 0.2812 0.7187 0.0000 0.0000 0.078 0.775  1.000 0.000 0.582 0.000 0.000 0.000 0.000 0.000 0.000 
 10 1.946390e+09 1.0239 3.9881 4.4264  7.4226 2.4432 0.2272 0.7727 0.0000 0.0000 0.073 0.775  1.001 0.000 0.572 0.000 0.000 0.000 0.000 0.000 0.000 tmaxms
