#n   age/yr      logL   logTef Mact   Mcore C/O
#(1) (2)         (3)    (4)    (5)    (6)   (7)
  1 0.000000e+00 3.1352 3.6496 0.6500 0.5118 0.464
  2 2.837020e+05 3.1655 3.6476 0.6500 0.5132 0.464
  3 6.451180e+05 3.2087 3.6446 0.6500 0.5154 0.464
  4 1.069000e+06 3.2647 3.6405 0.6500 0.5187 0.464
  5 1.514020e+06 3.3285 3.6361 0.6500 0.5232 0.464
  6 1.947800e+06 3.3939 3.6315 0.6499 0.5288 0.464
  7 2.358240e+06 3.4571 3.6274 0.6495 0.5356 0.464
  8 2.741170e+06 3.5164 3.6236 0.6483 0.5434 0.464
  9 3.094570e+06 3.5704 3.6211 0.6444 0.5521 0.464
 10 3.417730e+06 3.6189 3.6206 0.6334 0.5615 0.464
