#n   age/yr      logL   logTef Mact   Mcore C/O
#(1) (2)         (3)    (4)    (5)    (6)   (7)
  1 0.000000e+00 3.0665 3.6558 0.7000 0.5159 0.359
  2 2.711210e+05 3.1097 3.6527 0.7000 0.5174 0.359
  3 6.222680e+05 3.1701 3.6486 0.7000 0.5199 0.359
  4 1.033200e+06 3.2451 3.6434 0.7000 0.5236 0.359
  5 1.458040e+06 3.3251 3.6375 0.7000 0.5286 0.359
  6 1.867260e+06 3.4024 3.6321 0.7000 0.5349 0.359
  7 2.251610e+06 3.4736 3.6269 0.6998 0.5422 0.359
  8 2.607960e+06 3.5374 3.6223 0.6992 0.5506 0.359
  9 2.934940e+06 3.5936 3.6189 0.6970 0.5598 0.359
 10 3.232500e+06 3.6426 3.6162 0.6908 0.5695 0.359
 11 3.501750e+06 3.6852 3.6157 0.6739 0.5796 0.359
