#n   age/yr      logL   logTef grav    logTc  logrho Xc     Yc     Xc_C   Xc_O   Q_conv Q_disc L_H/L Q1_H Q2_H L_He/L Q1_He Q2_He L_C/L L_nu/L Q_Tmax phase
#(1) (2)         (3)    (4)    (5)     (6)    (7)    (8)    (9)    (10)   (11)   (12)   (13)   (14) (15)  (16) (17)   (18)  (19)  (20)  (21)   (22)   (23) 
  1 0.000000e+00 1.4947 4.1489 4.2631  8.0778 4.2418 0.0000 0.9613 0.0385 0.0002 0.000 0.923  0.167 0.832 0.953 0.840 0.000 0.098 0.000 0.000 0.000 bcheb
  2 8.252632e+06 1.4934 4.1413 4.2340  8.0839 4.2296 0.0000 0.8357 0.1568 0.0074 0.312 0.923  0.117 0.832 0.951 0.893 0.000 0.106 0.000 0.001 0.000 
  3 1.605055e+07 1.5056 4.1315 4.1826  8.0893 4.2194 0.0000 0.7384 0.2412 0.0203 0.347 0.923  0.093 0.832 0.947 0.916 0.000 0.119 0.000 0.001 0.000 
  4 2.350561e+07 1.5177 4.1221 4.1329  8.0942 4.2100 0.0000 0.6592 0.3045 0.0362 0.362 0.923  0.076 0.832 0.926 0.933 0.000 0.119 0.000 0.001 0.000 
  5 3.026949e+07 1.5314 4.1121 4.0792  8.0995 4.2026 0.0000 0.5826 0.3609 0.0564 0.357 0.923  0.063 0.833 0.923 0.945 0.000 0.124 0.000 0.001 0.000 
  6 3.560953e+07 1.5450 4.1025 4.0272  8.1041 4.2005 0.0000 0.5192 0.4041 0.0766 0.351 0.923  0.053 0.833 0.921 0.953 0.000 0.124 0.000 0.001 0.000 
  7 4.114015e+07 1.5585 4.0928 3.9749  8.1091 4.1983 0.0000 0.4594 0.4402 0.1002 0.353 0.923  0.045 0.833 0.919 0.963 0.000 0.131 0.000 0.001 0.000 
  8 4.638287e+07 1.5718 4.0833 3.9236  8.1141 4.1976 0.0000 0.4052 0.4687 0.1260 0.351 0.923  0.039 0.833 0.917 0.969 0.000 0.138 0.000 0.001 0.000 
  9 5.136025e+07 1.5853 4.0738 3.8721  8.1194 4.1986 0.0000 0.3541 0.4913 0.1545 0.348 0.923  0.034 0.833 0.915 0.974 0.000 0.138 0.000 0.001 0.000 
 10 5.607030e+07 1.5992 4.0640 3.8190  8.1252 4.2019 0.0000 0.3040 0.5088 0.1870 0.348 0.923  0.030 0.834 0.912 0.979 0.000 0.153 0.000 0.001 0.000 
 11 6.101822e+07 1.6134 4.0543 3.7660  8.1316 4.2077 0.0000 0.2558 0.5192 0.2249 0.347 0.923  0.027 0.834 0.911 0.982 0.000 0.153 0.000 0.001 0.000 
 12 6.629441e+07 1.6278 4.0447 3.7132  8.1388 4.2162 0.0000 0.2099 0.5205 0.2695 0.347 0.923  0.024 0.834 0.910 0.982 0.000 0.153 0.000 0.001 0.000 
 13 7.202214e+07 1.6431 4.0353 3.6603  8.1475 4.2294 0.0000 0.1642 0.5109 0.3248 0.345 0.923  0.022 0.834 0.909 0.978 0.000 0.168 0.000 0.002 0.000 
 14 7.865887e+07 1.6614 4.0259 3.6044  8.1603 4.2556 0.0000 0.1134 0.4828 0.4037 0.317 0.923  0.022 0.834 0.908 0.988 0.000 0.168 0.000 0.002 0.000 
 15 8.073561e+07 1.6685 4.0201 3.5741  8.1619 4.2565 0.0000 0.1106 0.4685 0.4208 0.401 0.923  0.021 0.834 0.907 1.000 0.000 0.168 0.000 0.002 0.000 tmincheb
 16 8.171500e+07 1.6680 4.0224 3.5838  8.1640 4.2603 0.0000 0.1031 0.4631 0.4336 0.333 0.923  0.021 0.834 0.908 0.986 0.000 0.168 0.000 0.003 0.000 
 17 8.971995e+07 1.6992 4.0186 3.5374  8.1978 4.3491 0.0000 0.0325 0.3813 0.5860 0.335 0.923  0.029 0.832 0.910 0.961 0.000 0.195 0.000 0.005 0.000 
 18 9.360183e+07 1.7154 4.0275 3.5568  8.2229 4.4269 0.0000 0.0126 0.3146 0.6727 0.335 0.923  0.047 0.832 0.915 0.937 0.000 0.197 0.000 0.007 0.000 
 19 9.554341e+07 1.7378 4.0330 3.5564  8.2477 4.5118 0.0000 0.0042 0.2734 0.7223 0.324 0.923  0.088 0.832 0.916 0.853 0.000 0.201 0.000 0.011 0.000 tmaxcheb
 20 9.583357e+07 1.7587 4.0256 3.5059  8.2606 4.5644 0.0000 0.0019 0.2666 0.7313 0.277 0.923  0.120 0.832 0.911 0.680 0.000 0.202 0.000 0.013 0.000 
 21 9.593983e+07 1.7787 4.0156 3.4459  8.2708 4.6091 0.0000 0.0010 0.2637 0.7352 0.245 0.923  0.154 0.832 0.905 0.528 0.000 0.204 0.000 0.014 0.000 
 22 9.599788e+07 1.7904 4.0084 3.4054  8.2762 4.6351 0.0000 0.0006 0.2627 0.7366 0.219 0.923  0.176 0.832 0.902 0.430 0.000 0.204 0.000 0.015 0.000 
 23 9.603669e+07 1.8040 3.9985 3.3522  8.2817 4.6651 0.0000 0.0003 0.2619 0.7376 0.190 0.923  0.201 0.832 0.897 0.310 0.329 0.399 0.000 0.016 0.000 
 24 9.606483e+07 1.8181 3.9870 3.2921  8.2867 4.6968 0.0000 0.0002 0.2613 0.7384 0.147 0.923  0.229 0.832 0.894 0.187 0.324 0.432 0.000 0.017 0.000 
 25 9.608663e+07 1.8286 3.9772 3.2424  8.2896 4.7213 0.0000 0.0001 0.2611 0.7387 0.101 0.923  0.250 0.832 0.893 0.105 0.000 0.460 0.000 0.017 0.000 
 26 9.610461e+07 1.8395 3.9665 3.1887  8.2905 4.7473 0.0000 0.0000 0.2609 0.7390 0.000 0.923  0.267 0.832 0.891 0.040 0.000 0.471 0.000 0.017 0.000 
 27 9.612046e+07 1.8493 3.9567 3.1397  8.2888 4.7702 0.0000 0.0000 0.2609 0.7390 0.000 0.923  0.285 0.832 0.888 0.030 0.007 0.477 0.000 0.018 0.000 
 28 9.613460e+07 1.8578 3.9472 3.0932  8.2881 4.7898 0.0000 0.0000 0.2609 0.7390 0.000 0.923  0.298 0.832 0.887 0.030 0.022 0.477 0.000 0.018 0.000 
 29 9.614704e+07 1.8672 3.9369 3.0426  8.2880 4.8075 0.0000 0.0000 0.2609 0.7390 0.000 0.923  0.310 0.832 0.886 0.031 0.030 0.483 0.000 0.018 0.000 
 30 9.615869e+07 1.8736 3.9295 3.0066  8.2883 4.8189 0.0000 0.0000 0.2609 0.7390 0.000 0.923  0.317 0.832 0.885 0.032 0.038 0.490 0.000 0.018 0.000 
 31 9.616980e+07 1.8816 3.9205 2.9626  8.2887 4.8323 0.0000 0.0000 0.2609 0.7390 0.000 0.923  0.326 0.832 0.884 0.035 0.042 0.490 0.000 0.018 0.000 
 32 9.618049e+07 1.8913 3.9088 2.9061  8.2895 4.8480 0.0000 0.0000 0.2609 0.7390 0.000 0.923  0.337 0.832 0.883 0.038 0.046 0.490 0.000 0.018 0.000 
 33 9.619059e+07 1.8969 3.9018 2.8725  8.2901 4.8568 0.0000 0.0000 0.2609 0.7390 0.000 0.923  0.344 0.832 0.882 0.040 0.049 0.490 0.000 0.018 0.000 
 34 9.620048e+07 1.9031 3.8937 2.8339  8.2907 4.8663 0.0000 0.0000 0.2609 0.7390 0.000 0.923  0.351 0.832 0.881 0.043 0.056 0.491 0.000 0.019 0.000 
 35 9.620989e+07 1.9100 3.8848 2.7914  8.2915 4.8766 0.0000 0.0000 0.2609 0.7390 0.000 0.923  0.359 0.832 0.881 0.046 0.063 0.491 0.000 0.019 0.000 
 36 9.621812e+07 1.9218 3.8670 2.7084  8.2930 4.8941 0.0000 0.0000 0.2609 0.7390 0.000 0.923  0.373 0.832 0.879 0.053 0.071 0.501 0.000 0.019 0.000 
 37 9.622726e+07 1.9289 3.8571 2.6617  8.2939 4.9043 0.0000 0.0000 0.2609 0.7390 0.000 0.923  0.382 0.832 0.879 0.058 0.071 0.501 0.000 0.019 0.000 
 38 9.623558e+07 1.9350 3.8476 2.6176  8.2946 4.9130 0.0000 0.0000 0.2609 0.7390 0.000 0.923  0.390 0.832 0.878 0.063 0.079 0.501 0.000 0.019 0.000 
 39 9.624376e+07 1.9402 3.8393 2.5792  8.2953 4.9202 0.0000 0.0000 0.2609 0.7390 0.000 0.923  0.396 0.832 0.878 0.067 0.079 0.501 0.000 0.019 0.000 
 40 9.625165e+07 1.9465 3.8292 2.5325  8.2961 4.9288 0.0000 0.0000 0.2609 0.7390 0.000 0.923  0.404 0.832 0.877 0.073 0.079 0.511 0.000 0.019 0.000 
 41 9.625948e+07 1.9541 3.8166 2.4745  8.2971 4.9390 0.0000 0.0000 0.2609 0.7390 0.000 0.923  0.413 0.832 0.876 0.080 0.088 0.511 0.000 0.019 0.000 
 42 9.626705e+07 1.9585 3.8092 2.4405  8.2977 4.9447 0.0000 0.0000 0.2609 0.7390 0.000 0.923  0.418 0.832 0.876 0.085 0.088 0.511 0.000 0.020 0.000 
 43 9.627493e+07 1.9633 3.8011 2.4033  8.2983 4.9509 0.0000 0.0000 0.2609 0.7390 0.000 0.923  0.423 0.832 0.875 0.091 0.088 0.511 0.000 0.020 0.000 
 44 9.628294e+07 1.9685 3.7924 2.3633  8.2989 4.9576 0.0000 0.0000 0.2609 0.7390 0.000 0.923  0.429 0.832 0.875 0.098 0.095 0.520 0.000 0.020 0.000 
 45 9.629184e+07 1.9742 3.7829 2.3196  8.2996 4.9649 0.0000 0.0000 0.2609 0.7390 0.000 0.923  0.436 0.832 0.874 0.105 0.095 0.520 0.000 0.020 0.000 
 46 9.630388e+07 1.9869 3.7663 2.2405  8.3010 4.9809 0.0000 0.0000 0.2609 0.7390 0.000 0.923  0.450 0.832 0.873 0.127 0.101 0.530 0.000 0.020 0.000 
 47 9.632099e+07 1.9940 3.7599 2.2078  8.3018 4.9898 0.0000 0.0000 0.2609 0.7390 0.000 0.923  0.458 0.832 0.872 0.141 0.103 0.530 0.000 0.020 0.000 
 48 9.635084e+07 2.0176 3.7468 2.1318  8.3034 5.0190 0.0000 0.0000 0.2609 0.7390 0.000 0.923  0.481 0.832 0.870 0.212 0.126 0.537 0.000 0.020 0.000 
 49 9.644196e+07 2.0457 3.7394 2.0741  8.2964 5.0640 0.0000 0.0000 0.2609 0.7390 0.000 0.923  0.473 0.832 0.870 0.543 0.147 0.537 0.000 0.018 0.000 
 50 9.644886e+07 2.0457 3.7394 2.0741  8.2964 5.0640 0.0000 0.0000 0.2609 0.7390 0.000 0.923  0.473 0.832 0.870 0.543 0.147 0.537 0.000 0.018 0.000 lmaxeagb
 51 9.653386e+07 2.0253 3.7467 2.1237  8.2822 5.0809 0.0000 0.0000 0.2609 0.7390 0.000 0.923  0.404 0.832 0.872 0.660 0.169 0.543 0.000 0.016 0.000 
 52 9.680314e+07 2.0060 3.7502 2.1570  8.2579 5.1351 0.0000 0.0000 0.2609 0.7390 0.000 0.923  0.230 0.832 0.875 0.783 0.196 0.548 0.000 0.014 0.000 lmineagb
 53 9.718201e+07 2.0185 3.7421 2.1121  8.2345 5.1871 0.0000 0.0000 0.2609 0.7390 0.000 0.923  0.124 0.832 0.875 0.876 0.211 0.559 0.000 0.013 0.000 
 54 9.763569e+07 2.0431 3.7345 2.0571  8.2158 5.2337 0.0000 0.0000 0.2609 0.7390 0.000 0.923  0.072 0.832 0.874 0.925 0.233 0.567 0.000 0.011 0.000 
 55 9.811715e+07 2.0706 3.7281 2.0040  8.2022 5.2716 0.0000 0.0000 0.2609 0.7390 0.000 0.923  0.043 0.832 0.873 0.956 0.245 0.571 0.000 0.011 0.000 
