#n   age/yr      logL   logTef Mact   Mcore C/O
#(1) (2)         (3)    (4)    (5)    (6)   (7)
  1 0.000000e+00 3.6740 3.6488 2.0000 0.6135 0.252
  2 8.844020e+04 3.6998 3.6471 2.0000 0.6161 3.681
  3 2.672220e+05 3.7449 3.6310 1.9998 0.6199 10.444
  4 4.636430e+05 3.7837 3.5954 1.9817 0.6225 13.919
  5 6.589170e+05 3.8098 3.5632 1.9150 0.6240 15.374
  6 8.534780e+05 3.8253 3.5373 1.8048 0.6246 16.072
  7 1.049390e+06 3.8351 3.5134 1.6573 0.6252 16.468
  8 1.247270e+06 3.8413 3.4891 1.4731 0.6257 16.716
  9 1.447660e+06 3.8456 3.4626 1.2479 0.6263 16.882
 10 1.650810e+06 3.8488 3.4383 0.9763 0.6271 16.989
