#n   age/yr      logL   logTef Mact   Mcore C/O
#(1) (2)         (3)    (4)    (5)    (6)   (7)
  1 0.000000e+00 4.1140 3.6437 3.5000 0.8340 0.258
  2 7.330640e+03 4.1276 3.6427 3.5000 0.8349 0.702
  3 1.974550e+04 4.1467 3.6400 3.5000 0.8355 1.638
  4 3.337250e+04 4.1639 3.6352 3.5000 0.8357 2.709
  5 4.735380e+04 4.1790 3.6305 3.5000 0.8359 3.801
  6 6.151260e+04 4.1920 3.6255 3.5000 0.8360 4.875
  7 7.580020e+04 4.2033 3.6207 3.4999 0.8360 5.913
  8 9.019290e+04 4.2130 3.6161 3.4998 0.8361 6.904
  9 1.046740e+05 4.2215 3.6115 3.4995 0.8362 7.840
 10 1.192290e+05 4.2288 3.6075 3.4991 0.8362 8.720
 11 1.338490e+05 4.2352 3.6033 3.4984 0.8363 9.541
 12 1.485220e+05 4.2410 3.5997 3.4974 0.8363 10.305
 13 1.632440e+05 4.2461 3.5962 3.4960 0.8363 11.015
 14 1.780070e+05 4.2508 3.5928 3.4944 0.8364 11.674
 15 1.928090e+05 4.2551 3.5896 3.4926 0.8364 12.285
 16 2.076450e+05 4.2591 3.5866 3.4905 0.8364 12.852
 17 2.225130e+05 4.2629 3.5837 3.4883 0.8364 13.379
 18 2.374100e+05 4.2665 3.5808 3.4858 0.8365 13.867
 19 2.523360e+05 4.2701 3.5781 3.4831 0.8365 14.322
 20 2.672880e+05 4.2735 3.5754 3.4801 0.8365 14.745
 21 2.822600e+05 4.2768 3.5729 3.4769 0.8365 15.138
 22 2.972560e+05 4.2802 3.5707 3.4735 0.8365 15.507
 23 3.122780e+05 4.2834 3.5684 3.4698 0.8365 15.851
 24 3.273250e+05 4.2867 3.5660 3.4658 0.8365 16.174
 25 3.423990e+05 4.2899 3.5637 3.4616 0.8366 16.477
 26 3.575000e+05 4.2932 3.5618 3.4570 0.8366 16.761
 27 3.726270e+05 4.2964 3.5596 3.4521 0.8366 17.029
 28 3.877830e+05 4.2996 3.5574 3.4469 0.8366 17.281
 29 4.029670e+05 4.3029 3.5552 3.4414 0.8366 17.519
 30 4.181810e+05 4.3061 3.5535 3.4355 0.8366 17.743
 31 4.334260e+05 4.3093 3.5514 3.4291 0.8366 17.957
 32 4.487030e+05 4.3125 3.5493 3.4224 0.8366 18.156
 33 4.640130e+05 4.3157 3.5477 3.4153 0.8367 18.347
 34 4.793580e+05 4.3188 3.5456 3.4077 0.8367 18.529
 35 4.947400e+05 4.3219 3.5437 3.3996 0.8367 18.699
 36 5.101590e+05 4.3251 3.5420 3.3910 0.8367 18.903
 37 5.256180e+05 4.3281 3.5399 3.3818 0.8367 19.090
 38 5.411190e+05 4.3311 3.5377 3.3720 0.8367 19.262
 39 5.566630e+05 4.3341 3.5349 3.3616 0.8367 19.417
 40 5.722540e+05 4.3370 3.5321 3.3503 0.8368 19.548
 41 5.878930e+05 4.3398 3.5289 3.3381 0.8368 19.663
 42 6.035840e+05 4.3425 3.5250 3.3247 0.8368 19.754
 43 6.193320e+05 4.3450 3.5206 3.3100 0.8368 19.813
 44 6.351390e+05 4.3474 3.5162 3.2938 0.8368 19.834
 45 6.510130e+05 4.3493 3.5115 3.2736 0.8368 19.817
 46 6.669660e+05 4.3499 3.5062 3.2412 0.8369 19.779
 47 6.830360e+05 4.3493 3.5011 3.1982 0.8369 19.741
 48 6.992620e+05 4.3476 3.4964 3.1467 0.8369 19.718
 49 7.156720e+05 4.3451 3.4920 3.0886 0.8370 19.714
 50 7.322890e+05 4.3417 3.4880 3.0232 0.8370 19.707
 51 7.491360e+05 4.3368 3.4842 2.9466 0.8371 19.755
 52 7.662430e+05 4.3306 3.4802 2.8596 0.8371 19.871
 53 7.836400e+05 4.3227 3.4769 2.7593 0.8372 19.976
 54 8.013610e+05 4.3129 3.4729 2.6437 0.8373 20.078
 55 8.194430e+05 4.3006 3.4682 2.5065 0.8374 20.178
 56 8.379340e+05 4.2850 3.4619 2.3386 0.8375 20.278
 57 8.569020e+05 4.2649 3.4540 2.1214 0.8376 20.379
 58 8.764440e+05 4.2366 3.4405 1.7880 0.8377 20.491
