#n   age/yr      logL   logTef Mact   Mcore C/O
#(1) (2)         (3)    (4)    (5)    (6)   (7)
  1 0.000000e+00 4.2833 3.6450 4.5000 0.9249 0.265
  2 2.248340e+03 4.2994 3.6438 4.5000 0.9254 0.402
  3 5.655750e+03 4.3205 3.6419 4.5000 0.9256 0.634
  4 9.232580e+03 4.3400 3.6394 4.5000 0.9257 0.887
  5 1.285640e+04 4.3577 3.6374 4.5000 0.9257 1.149
  6 1.651250e+04 4.3739 3.6353 4.5000 0.9257 1.419
  7 2.019890e+04 4.3887 3.6332 4.5000 0.9258 1.696
  8 2.391500e+04 4.4023 3.6312 4.5000 0.9258 1.974
  9 2.766060e+04 4.4148 3.6291 4.5000 0.9259 2.207
 10 3.143530e+04 4.4262 3.6267 4.5000 0.9259 2.244
 11 3.523880e+04 4.4367 3.6246 4.5000 0.9260 1.871
 12 3.907080e+04 4.4464 3.6220 4.5000 0.9260 1.098
 13 4.293100e+04 4.4553 3.6204 4.5000 0.9261 0.436
 14 4.681920e+04 4.4636 3.6197 4.5000 0.9261 0.260
 15 5.073500e+04 4.4712 3.6184 4.5000 0.9262 0.267
 16 5.467800e+04 4.4782 3.6167 4.5000 0.9262 0.287
 17 5.864740e+04 4.4847 3.6149 4.5000 0.9263 0.309
 18 6.264290e+04 4.4908 3.6135 4.5000 0.9263 0.333
 19 6.666390e+04 4.4965 3.6119 4.5000 0.9264 0.357
 20 7.071000e+04 4.5017 3.6102 4.5000 0.9264 0.384
 21 7.478080e+04 4.5066 3.6087 4.5000 0.9265 0.412
 22 7.887580e+04 4.5113 3.6073 4.5000 0.9265 0.441
 23 8.299460e+04 4.5156 3.6057 4.5000 0.9266 0.472
 24 8.713670e+04 4.5197 3.6042 4.5000 0.9266 0.505
 25 9.130170e+04 4.5236 3.6029 4.5000 0.9267 0.538
 26 9.548920e+04 4.5273 3.6014 4.5000 0.9267 0.574
 27 9.969860e+04 4.5308 3.6002 4.5000 0.9268 0.610
 28 1.039300e+05 4.5341 3.5987 4.4999 0.9268 0.647
 29 1.081820e+05 4.5373 3.5971 4.4999 0.9269 0.685
 30 1.124550e+05 4.5404 3.5960 4.4999 0.9269 0.724
 31 1.167480e+05 4.5434 3.5945 4.4999 0.9270 0.763
 32 1.210610e+05 4.5463 3.5933 4.4999 0.9270 0.803
 33 1.253940e+05 4.5491 3.5919 4.4999 0.9271 0.843
 34 1.297450e+05 4.5518 3.5902 4.4999 0.9271 0.883
 35 1.341150e+05 4.5545 3.5892 4.4999 0.9272 0.923
 36 1.385040e+05 4.5572 3.5877 4.4998 0.9272 0.963
 37 1.429100e+05 4.5597 3.5866 4.4998 0.9273 1.002
 38 1.473330e+05 4.5623 3.5851 4.4998 0.9273 1.041
 39 1.517740e+05 4.5648 3.5839 4.4998 0.9274 1.079
 40 1.562310e+05 4.5673 3.5824 4.4998 0.9274 1.117
 41 1.607050e+05 4.5697 3.5808 4.4998 0.9275 1.153
