#n   age/yr      logL   logTef Mact   Mcore C/O
#(1) (2)         (3)    (4)    (5)    (6)   (7)
  1 0.000000e+00 3.4147 3.6464 1.2000 0.5518 0.322
  2 1.803570e+05 3.4516 3.6438 1.2000 0.5544 6.309
  3 5.414790e+05 3.5233 3.6143 1.1965 0.5586 14.084
  4 9.416400e+05 3.5932 3.5501 1.0514 0.5625 16.375
  5 1.338290e+06 3.6481 3.4853 0.6937 0.5664 16.896
